Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 4284,Take in charge ticket,Value 2,2010/01/27 13:31:18.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Resolve ticket,Value 2,2010/01/27 13:31:24.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Take in charge ticket,Value 2,2010/01/27 15:59:14.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Resolve ticket,Value 2,2010/01/27 15:59:23.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Closed,Value 5,2010/02/11 15:59:39.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Closed,Value 16,2010/03/05 16:01:37.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 1534,Assign seriousness,Value 2,2010/01/13 13:09:31.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1534,Take in charge ticket,Value 2,2010/01/26 09:50:48.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1534,Resolve ticket,Value 2,2010/01/26 09:50:55.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1534,Closed,Value 5,2010/02/13 13:10:27.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1534,Closed,Value 5,2010/02/13 13:10:27.000,Variant 33,33,Variant 33,Value 1,Value 176,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 406,Assign seriousness,Value 2,2010/01/13 17:25:25.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 406,Assign seriousness,Value 2,2010/01/13 17:25:38.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 406,Take in charge ticket,Value 2,2010/01/14 11:42:31.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 406,Resolve ticket,Value 2,2010/01/14 11:42:37.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 406,Closed,Value 5,2010/02/13 17:01:54.000,Variant 4,4,Variant 4,Value 1,Value 143,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 1
Case 4539,Assign seriousness,Value 2,2010/01/14 09:10:48.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 4539,Assign seriousness,Value 2,2010/01/14 09:11:02.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 1
Case 4539,Take in charge ticket,Value 15,2010/01/20 09:15:20.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1
Case 4539,Resolve ticket,Value 15,2010/01/20 09:26:05.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1
Case 4539,Closed,Value 5,2010/03/06 09:26:32.000,Variant 4,4,Variant 4,Value 1,Value 55,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 1
Case 2118,Assign seriousness,Value 2,2010/01/14 09:52:50.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case 2118,Take in charge ticket,Value 21,2010/02/09 15:01:11.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case 2118,Resolve ticket,Value 21,2010/02/17 09:44:53.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case 2118,Closed,Value 21,2010/02/17 09:44:59.000,Variant 1,1,Variant 1,Value 1,Value 236,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 3
Case 3625,Assign seriousness,Value 2,2010/01/14 10:35:38.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 3625,Assign seriousness,Value 2,2010/01/14 10:35:57.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 3625,Take in charge ticket,Value 2,2010/02/01 11:43:31.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 3625,Resolve ticket,Value 2,2010/02/12 11:00:01.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 3625,Closed,Value 5,2010/02/27 11:00:17.000,Variant 4,4,Variant 4,Value 1,Value 53,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 1
Case 1621,Assign seriousness,Value 2,2010/01/15 17:11:07.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case 1621,Take in charge ticket,Value 2,2010/02/01 08:16:26.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case 1621,Resolve ticket,Value 2,2010/02/01 08:30:33.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case 1621,Closed,Value 5,2010/02/16 08:30:55.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 1
Case 390,Assign seriousness,Value 2,2010/01/18 09:30:02.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 390,Take in charge ticket,Value 2,2010/01/18 09:30:24.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 390,Resolve ticket,Value 2,2010/01/18 09:32:21.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 390,Closed,Value 5,2010/03/03 09:40:25.000,Variant 1,1,Variant 1,Value 1,Value 103,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1941,Assign seriousness,Value 2,2010/01/19 09:11:08.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1941,Take in charge ticket,Value 2,2010/01/21 09:14:12.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1941,Resolve ticket,Value 2,2010/01/21 10:08:05.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1941,Closed,Value 5,2010/02/19 09:20:25.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 404,Assign seriousness,Value 2,2010/01/19 17:01:04.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 404,Take in charge ticket,Value 2,2010/02/11 14:30:44.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 404,Resolve ticket,Value 2,2010/02/11 14:30:56.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 404,Closed,Value 5,2010/02/26 14:31:15.000,Variant 1,1,Variant 1,Value 1,Value 162,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 791,Assign seriousness,Value 2,2010/01/21 08:49:07.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 791,Take in charge ticket,Value 2,2010/02/19 10:43:41.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 791,Resolve ticket,Value 2,2010/02/19 10:43:47.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 791,Closed,Value 5,2010/03/21 10:44:31.000,Variant 1,1,Variant 1,Value 1,Value 97,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 1485,Assign seriousness,Value 2,2010/01/21 08:52:31.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3
Case 1485,Take in charge ticket,Value 2,2010/02/17 10:05:11.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3
Case 1485,Resolve ticket,Value 2,2010/02/17 10:05:17.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3
Case 1485,Closed,Value 5,2010/03/04 10:05:28.000,Variant 1,1,Variant 1,Value 1,Value 10,Value 3,Value 2,Value 2,Value 3,Value 1,Value 3,Value 3
Case 1000,Assign seriousness,Value 2,2010/01/21 08:53:28.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,Assign seriousness,Value 2,2010/01/21 08:53:34.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,Take in charge ticket,Value 2,2010/01/21 08:53:40.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,Resolve ticket,Value 2,2010/01/26 14:06:53.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1000,Closed,Value 5,2010/03/06 09:00:57.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 2915,Assign seriousness,Value 2,2010/01/21 08:57:25.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 2915,Assign seriousness,Value 2,2010/01/21 08:57:35.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 2915,Take in charge ticket,Value 10,2010/02/15 16:17:46.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 2915,Resolve ticket,Value 10,2010/02/15 16:17:57.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 2915,Closed,Value 5,2010/03/02 16:18:12.000,Variant 4,4,Variant 4,Value 1,Value 48,Value 3,Value 2,Value 2,Value 2,Value 1,Value 2,Value 3
Case 1768,Assign seriousness,Value 2,2010/01/22 08:17:33.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1768,Take in charge ticket,Value 11,2010/01/22 08:46:15.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1768,Resolve ticket,Value 11,2010/01/25 13:23:52.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1768,Closed,Value 5,2010/03/14 10:38:11.000,Variant 1,1,Variant 1,Value 1,Value 35,Value 9,Value 4,Value 2,Value 2,Value 2,Value 3,Value 2
Case 1006,Assign seriousness,Value 2,2010/01/22 11:09:40.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,Take in charge ticket,Value 2,2010/01/22 11:09:51.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,Resolve ticket,Value 2,2010/01/22 11:09:59.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 1006,Closed,Value 5,2010/03/11 11:10:33.000,Variant 1,1,Variant 1,Value 1,Value 255,Value 3,Value 6,Value 1,Value 2,Value 1,Value 5,Value 1
Case 2742,Assign seriousness,Value 2,2010/01/22 14:49:01.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 2742,Take in charge ticket,Value 2,2010/01/22 14:49:10.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 2742,Take in charge ticket,Value 2,2010/02/22 13:53:42.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 2742,Resolve ticket,Value 2,2010/02/22 13:53:49.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 2742,Closed,Value 5,2010/03/09 13:54:07.000,Variant 12,12,Variant 12,Value 1,Value 148,Value 3,Value 4,Value 2,Value 3,Value 1,Value 3,Value 3
Case 1223,Assign seriousness,Value 2,2010/01/26 11:36:21.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Take in charge ticket,Value 2,2010/01/26 11:36:30.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Resolve ticket,Value 2,2010/01/26 16:06:29.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Take in charge ticket,Value 2,2010/01/27 14:28:58.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Resolve ticket,Value 2,2010/02/08 11:54:13.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1223,Closed,Value 5,2010/03/11 11:40:48.000,Variant 9,9,Variant 9,Value 1,Value 92,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1703,Assign seriousness,Value 2,2010/01/26 14:14:39.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 1703,Take in charge ticket,Value 2,2010/02/09 16:14:20.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 1703,Resolve ticket,Value 2,2010/02/09 16:14:25.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 1703,Closed,Value 5,2010/03/11 16:14:54.000,Variant 1,1,Variant 1,Value 1,Value 16,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 4505,Assign seriousness,Value 2,2010/01/29 10:14:43.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 4505,Take in charge ticket,Value 2,2010/01/29 10:14:56.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 4505,Resolve ticket,Value 2,2010/01/29 10:15:02.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 4505,Closed,Value 5,2010/03/03 10:20:47.000,Variant 1,1,Variant 1,Value 1,Value 91,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 2441,Assign seriousness,Value 2,2010/02/02 09:49:41.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case 2441,Assign seriousness,Value 2,2010/02/15 15:57:27.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case 2441,Take in charge ticket,Value 2,2010/02/15 15:57:33.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case 2441,Resolve ticket,Value 2,2010/02/15 15:57:38.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case 2441,Closed,Value 5,2010/03/05 09:50:31.000,Variant 4,4,Variant 4,Value 1,Value 186,Value 3,Value 2,Value 1,Value 2,Value 1,Value 2,Value 3
Case 588,Assign seriousness,Value 2,2010/02/02 09:52:38.000,Variant 1,1,Variant 1,Value 1,Value 76,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 588,Take in charge ticket,Value 2,2010/02/17 16:24:59.000,Variant 1,1,Variant 1,Value 1,Value 76,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 588,Resolve ticket,Value 2,2010/02/19 08:23:45.000,Variant 1,1,Variant 1,Value 1,Value 76,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 588,Closed,Value 5,2010/03/06 08:24:05.000,Variant 1,1,Variant 1,Value 1,Value 76,Value 3,Value 4,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1400,Assign seriousness,Value 2,2010/02/02 09:57:11.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1400,Take in charge ticket,Value 2,2010/02/02 09:57:23.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1400,Resolve ticket,Value 2,2010/02/02 09:57:29.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1400,Closed,Value 5,2010/03/18 10:00:48.000,Variant 1,1,Variant 1,Value 1,Value 108,Value 3,Value 2,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1196,Assign seriousness,Value 2,2010/02/02 10:17:37.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1196,Take in charge ticket,Value 10,2010/02/15 16:21:37.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1196,Resolve ticket,Value 10,2010/02/15 16:22:30.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1196,Closed,Value 5,2010/03/20 10:20:28.000,Variant 1,1,Variant 1,Value 1,Value 126,Value 3,Value 2,Value 1,Value 2,Value 1,Value 3,Value 3
Case 1468,Assign seriousness,Value 2,2010/02/02 10:18:33.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case 1468,Assign seriousness,Value 16,2010/03/05 12:28:51.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case 1468,Take in charge ticket,Value 16,2010/03/05 12:28:58.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case 1468,Resolve ticket,Value 16,2010/03/05 13:45:01.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case 1468,Closed,Value 5,2010/03/20 13:45:16.000,Variant 4,4,Variant 4,Value 1,Value 92,Value 9,Value 4,Value 2,Value 2,Value 1,Value 3,Value 3
Case 189,Assign seriousness,Value 2,2010/02/02 13:49:13.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Assign seriousness,Value 2,2010/02/02 14:04:15.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Take in charge ticket,Value 2,2010/02/03 14:27:07.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Resolve ticket,Value 2,2010/02/03 14:27:16.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 189,Closed,Value 5,2010/03/18 13:50:26.000,Variant 4,4,Variant 4,Value 1,Value 100,Value 3,Value 6,Value 2,Value 2,Value 1,Value 5,Value 1
Case 4378,Assign seriousness,Value 2,2010/02/04 08:20:45.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Assign seriousness,Value 2,2010/02/04 08:21:00.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Take in charge ticket,Value 2,2010/02/16 10:20:28.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Wait,Value 2,2010/02/16 10:20:37.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Take in charge ticket,Value 2,2010/02/17 08:45:28.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Resolve ticket,Value 2,2010/02/17 11:34:58.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 4378,Closed,Value 5,2010/04/03 10:35:20.000,Variant 13,13,Variant 13,Value 1,Value 9,Value 3,Value 4,Value 1,Value 3,Value 1,Value 3,Value 3
Case 3806,Assign seriousness,Value 2,2010/02/04 08:22:39.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Take in charge ticket,Value 2,2010/02/04 08:22:54.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Wait,Value 2,2010/02/04 09:07:26.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Take in charge ticket,Value 2,2010/02/26 08:53:59.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Resolve ticket,Value 2,2010/02/26 08:54:05.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Resolve ticket,Value 2,2010/02/26 09:31:08.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 3806,Closed,Value 5,2010/03/13 09:31:19.000,Variant 38,38,Variant 38,Value 1,Value 194,Value 3,Value 4,Value 2,Value 2,Value 1,Value 3,Value 1
Case 1030,Assign seriousness,Value 2,2010/02/04 09:40:52.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 2,Value 2,Value 1,Value 6,Value 1
Case 1030,Assign seriousness,Value 2,2010/02/04 09:41:05.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Take in charge ticket,Value 2,2010/02/04 09:41:23.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Create SW anomaly,Value 2,2010/02/04 09:41:33.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Resolve ticket,Value 2,2010/02/22 14:05:31.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1030,Closed,Value 5,2010/03/09 14:05:44.000,Variant 115,115,Variant 115,Value 1,Value 110,Value 3,Value 3,Value 1,Value 2,Value 1,Value 6,Value 1
Case 1798,Assign seriousness,Value 2,2010/02/04 10:36:44.000,Variant 19,19,Variant 19,Value 1,Value 22,Value 3,Value 3,Value 2,Value 2,Value 1,Value 3,Value 1
