"'NotChainSuccession(Assign seriousness, Take in charge ticket)'","'NotCoExistence(Assign seriousness, Wait)'","'NotCoExistence(Closed, Wait)'","'NotCoExistence(Resolve ticket, Wait)'","'NotCoExistence(Take in charge ticket, Wait)'","'NotCoExistence(Wait, Assign seriousness)'","'NotCoExistence(Wait, Closed)'","'NotCoExistence(Wait, Resolve ticket)'","'ChainResponse(Wait, Take in charge ticket)'","'NotCoExistence(Wait, Take in charge ticket)'"
16.429787234,9.383458647,9.286956522,9.170731707,8.123076923,9.383458647,9.286956522,9.170731707,12.000000000,8.123076923
16.779661017,9.992537313,9.862068966,9.750000000,8.568181818,9.992537313,9.862068966,9.750000000,13.000000000,8.568181818
16.779661017,9.992537313,9.862068966,9.750000000,8.568181818,9.992537313,9.862068966,9.750000000,13.000000000,8.568181818
16.779661017,9.992537313,9.862068966,9.750000000,8.568181818,9.992537313,9.862068966,9.750000000,13.000000000,8.568181818
17.470588235,10.036764706,9.862068966,9.750000000,8.568181818,10.036764706,9.862068966,9.750000000,13.000000000,8.568181818
17.470588235,10.036764706,9.862068966,9.750000000,8.568181818,10.036764706,9.862068966,9.750000000,13.000000000,8.568181818
17.811715481,10.627737226,10.410256410,10.304000000,8.985074627,10.627737226,10.410256410,10.304000000,14.000000000,8.985074627
17.811715481,10.627737226,10.410256410,10.304000000,8.985074627,10.627737226,10.410256410,10.304000000,14.000000000,8.985074627
17.811715481,10.627737226,10.410256410,10.304000000,8.985074627,10.627737226,10.410256410,10.304000000,14.000000000,8.985074627
18.640167364,11.195652174,10.932203390,10.833333333,9.444444444,11.195652174,10.932203390,10.833333333,15.000000000,9.444444444
18.640167364,11.195652174,10.932203390,10.833333333,9.444444444,11.195652174,10.932203390,10.833333333,15.000000000,9.444444444
18.640167364,11.195652174,10.932203390,10.833333333,9.444444444,11.195652174,10.932203390,10.833333333,15.000000000,9.444444444
18.975000000,11.741007194,11.428571429,11.338582677,9.810218978,11.741007194,11.428571429,11.338582677,16.000000000,9.810218978
19.307053942,11.741007194,11.428571429,11.375000000,9.855072464,11.741007194,11.428571429,11.375000000,16.000000000,9.855072464
18.485477178,11.304347826,10.932203390,10.930232558,9.416058394,11.304347826,10.932203390,10.930232558,15.000000000,9.416058394
18.818181818,11.856115108,11.428571429,11.446153846,9.784172662,11.856115108,11.428571429,11.446153846,16.000000000,9.784172662
18.485477178,11.826086957,11.428571429,11.446153846,9.784172662,11.826086957,11.428571429,11.446153846,16.000000000,9.784172662
18.818181818,11.826086957,11.428571429,11.515151515,9.828571429,11.826086957,11.428571429,11.515151515,16.000000000,9.828571429
18.818181818,11.826086957,11.428571429,11.515151515,9.828571429,11.826086957,11.428571429,11.515151515,16.000000000,9.828571429
18.485477178,11.795620438,11.428571429,11.515151515,9.828571429,11.795620438,11.428571429,11.515151515,16.000000000,9.828571429
17.811715481,11.333333333,10.932203390,10.992366412,9.456521739,11.333333333,10.932203390,10.992366412,15.000000000,9.456521739
17.811715481,11.851851852,11.428571429,11.515151515,9.828571429,11.851851852,11.428571429,11.515151515,16.000000000,9.828571429
17.811715481,11.851851852,11.428571429,11.515151515,9.828571429,11.851851852,11.428571429,11.515151515,16.000000000,9.828571429
17.470588235,11.305970149,10.966386555,10.992366412,9.456521739,11.305970149,10.966386555,10.992366412,15.000000000,9.456521739
18.302521008,11.851851852,11.466666667,11.515151515,9.899280576,11.851851852,11.466666667,11.515151515,16.000000000,9.899280576
18.302521008,11.851851852,11.466666667,11.515151515,9.899280576,11.851851852,11.466666667,11.515151515,16.000000000,9.899280576
18.640167364,11.851851852,11.466666667,11.548872180,9.942857143,11.851851852,11.466666667,11.548872180,16.000000000,9.942857143
18.640167364,11.851851852,11.466666667,11.548872180,9.942857143,11.851851852,11.466666667,11.548872180,16.000000000,9.942857143
18.302521008,11.851851852,11.466666667,11.636363636,10.014388489,11.851851852,11.466666667,11.636363636,16.000000000,10.014388489
18.640167364,11.882352941,11.466666667,11.636363636,10.014388489,11.882352941,11.466666667,11.636363636,16.000000000,10.014388489
18.302521008,11.444444444,10.966386555,11.106870229,9.635036496,11.444444444,10.966386555,11.106870229,15.000000000,9.635036496
18.302521008,11.444444444,10.966386555,11.076923077,9.635036496,11.444444444,10.966386555,11.076923077,15.000000000,9.635036496
18.302521008,11.444444444,10.966386555,11.076923077,9.635036496,11.444444444,10.966386555,11.076923077,15.000000000,9.635036496
18.975000000,11.912408759,11.466666667,11.603053435,10.014388489,11.912408759,11.466666667,11.603053435,16.000000000,10.014388489
18.672199170,11.942028986,11.466666667,11.534883721,10.014388489,11.942028986,11.466666667,11.534883721,16.000000000,10.014388489
18.672199170,11.942028986,11.466666667,11.534883721,10.014388489,11.942028986,11.466666667,11.534883721,16.000000000,10.014388489
18.333333333,11.912408759,11.466666667,11.534883721,10.014388489,11.912408759,11.466666667,11.534883721,16.000000000,10.014388489
18.333333333,11.912408759,11.466666667,11.534883721,10.014388489,11.912408759,11.466666667,11.534883721,16.000000000,10.014388489
18.333333333,11.912408759,11.466666667,11.534883721,10.014388489,11.912408759,11.466666667,11.534883721,16.000000000,10.014388489
18.333333333,12.408759124,11.942148760,12.030769231,10.368794326,12.408759124,11.942148760,12.030769231,17.000000000,10.368794326
18.333333333,12.408759124,11.942148760,12.030769231,10.368794326,12.408759124,11.942148760,12.030769231,17.000000000,10.368794326
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.333333333,11.851851852,11.466666667,11.569230769,10.099290780,11.851851852,11.466666667,11.569230769,16.000000000,10.099290780
18.672199170,12.375000000,11.942148760,12.068702290,10.461538462,12.375000000,11.942148760,12.068702290,17.000000000,10.461538462
18.672199170,12.838235294,12.393442623,12.545454545,10.800000000,12.838235294,12.393442623,12.545454545,18.000000000,10.800000000
18.672199170,12.838235294,12.393442623,12.545454545,10.800000000,12.838235294,12.393442623,12.545454545,18.000000000,10.800000000
17.299578059,12.432835821,12.041666667,12.351562500,10.762589928,12.432835821,12.041666667,12.351562500,17.000000000,10.762589928
17.299578059,12.432835821,12.000000000,12.351562500,10.762589928,12.432835821,12.000000000,12.351562500,17.000000000,10.762589928
17.299578059,12.398496241,12.000000000,12.387596899,10.807142857,12.398496241,12.000000000,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.363636364,11.957627119,12.387596899,10.807142857,12.363636364,11.957627119,12.387596899,17.000000000,10.807142857
16.949152542,12.818181818,12.403361345,12.837209302,11.154929577,12.818181818,12.403361345,12.837209302,18.000000000,11.154929577
16.595744681,12.778625954,12.403361345,12.837209302,11.154929577,12.778625954,12.403361345,12.837209302,18.000000000,11.154929577
16.595744681,12.778625954,12.403361345,12.837209302,11.154929577,12.778625954,12.403361345,12.837209302,18.000000000,11.154929577
16.949152542,12.818181818,12.403361345,12.837209302,11.154929577,12.818181818,12.403361345,12.837209302,18.000000000,11.154929577
16.949152542,12.818181818,12.403361345,12.837209302,11.154929577,12.818181818,12.403361345,12.837209302,18.000000000,11.154929577
17.647058824,13.186567164,12.719008264,13.198473282,11.321917808,13.186567164,12.719008264,13.198473282,19.000000000,11.321917808
17.647058824,13.186567164,12.719008264,13.198473282,11.321917808,13.186567164,12.719008264,13.198473282,19.000000000,11.321917808
17.647058824,13.186567164,12.719008264,13.198473282,11.321917808,13.186567164,12.719008264,13.198473282,19.000000000,11.321917808
17.647058824,13.186567164,12.719008264,13.242424242,11.321917808,13.186567164,12.719008264,13.242424242,19.000000000,11.321917808
17.647058824,12.761194030,12.300000000,12.778625954,11.000000000,12.761194030,12.300000000,12.778625954,18.000000000,11.000000000
17.647058824,12.761194030,12.300000000,12.778625954,11.000000000,12.761194030,12.300000000,12.778625954,18.000000000,11.000000000
17.299578059,12.721804511,12.300000000,12.778625954,11.000000000,12.721804511,12.300000000,12.778625954,18.000000000,11.000000000
17.299578059,12.721804511,12.300000000,12.778625954,11.000000000,12.721804511,12.300000000,12.778625954,18.000000000,11.000000000
17.299578059,12.721804511,12.300000000,12.778625954,11.000000000,12.721804511,12.300000000,12.778625954,18.000000000,11.000000000
17.299578059,12.721804511,12.300000000,12.778625954,11.000000000,12.721804511,12.300000000,12.778625954,18.000000000,11.000000000
17.299578059,12.721804511,12.300000000,12.778625954,11.000000000,12.721804511,12.300000000,12.778625954,18.000000000,11.000000000
17.647058824,12.721804511,12.300000000,12.681818182,10.924137931,12.721804511,12.300000000,12.681818182,18.000000000,10.924137931
17.647058824,12.721804511,12.300000000,12.721804511,10.924137931,12.721804511,12.300000000,12.721804511,18.000000000,10.924137931
16.949152542,12.328244275,11.957627119,12.328244275,10.730496454,12.328244275,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.595744681,12.292307692,11.957627119,12.328244275,10.730496454,12.292307692,11.957627119,12.328244275,17.000000000,10.730496454
16.949152542,12.292307692,11.957627119,12.363636364,10.774647887,12.292307692,11.957627119,12.363636364,17.000000000,10.774647887
16.949152542,12.292307692,11.957627119,12.363636364,10.774647887,12.292307692,11.957627119,12.363636364,17.000000000,10.774647887
16.595744681,12.255813953,11.957627119,12.363636364,10.774647887,12.255813953,11.957627119,12.363636364,17.000000000,10.774647887
16.595744681,12.255813953,11.957627119,12.363636364,10.774647887,12.255813953,11.957627119,12.363636364,17.000000000,10.774647887
16.595744681,12.255813953,11.957627119,12.363636364,10.774647887,12.255813953,11.957627119,12.363636364,17.000000000,10.774647887
16.595744681,12.255813953,11.957627119,12.363636364,10.774647887,12.255813953,11.957627119,12.363636364,17.000000000,10.774647887
16.595744681,12.255813953,11.957627119,12.363636364,10.774647887,12.255813953,11.957627119,12.363636364,17.000000000,10.774647887
16.239316239,11.750000000,11.487179487,11.847328244,10.400000000,11.750000000,11.487179487,11.847328244,16.000000000,10.400000000
16.239316239,11.750000000,11.487179487,11.847328244,10.400000000,11.750000000,11.487179487,11.847328244,16.000000000,10.400000000
15.879828326,11.220472441,10.991379310,11.307692308,10.000000000,11.220472441,10.991379310,11.307692308,15.000000000,10.000000000
16.595744681,11.750000000,11.487179487,11.757575758,10.326241135,11.750000000,11.487179487,11.757575758,16.000000000,10.326241135
17.299578059,11.815384615,11.487179487,11.757575758,10.326241135,11.815384615,11.487179487,11.757575758,16.000000000,10.326241135
17.647058824,12.328244275,11.957627119,12.270676692,10.699300699,12.328244275,11.957627119,12.270676692,17.000000000,10.699300699
17.647058824,12.328244275,11.957627119,12.270676692,10.699300699,12.328244275,11.957627119,12.270676692,17.000000000,10.699300699
18.487394958,12.818181818,12.403361345,12.761194030,11.125000000,12.818181818,12.403361345,12.761194030,18.000000000,11.125000000
18.143459916,12.328244275,11.957627119,12.270676692,10.774647887,12.328244275,11.957627119,12.270676692,17.000000000,10.774647887
18.143459916,12.328244275,11.957627119,12.270676692,10.774647887,12.328244275,11.957627119,12.270676692,17.000000000,10.774647887
18.143459916,12.328244275,11.957627119,12.270676692,10.774647887,12.328244275,11.957627119,12.270676692,17.000000000,10.774647887
17.446808511,12.697674419,12.403361345,12.761194030,11.125000000,12.697674419,12.403361345,12.761194030,18.000000000,11.125000000
17.446808511,12.697674419,12.403361345,12.761194030,11.125000000,12.697674419,12.403361345,12.761194030,18.000000000,11.125000000
17.446808511,12.697674419,12.403361345,12.761194030,11.125000000,12.697674419,12.403361345,12.761194030,18.000000000,11.125000000
17.446808511,12.697674419,12.403361345,12.761194030,11.125000000,12.697674419,12.403361345,12.761194030,18.000000000,11.125000000
17.446808511,12.697674419,12.403361345,12.761194030,11.125000000,12.697674419,12.403361345,12.761194030,18.000000000,11.125000000
17.299578059,12.697674419,12.403361345,12.666666667,10.972602740,12.697674419,12.403361345,12.666666667,18.000000000,10.972602740
17.991631799,13.153846154,12.825000000,13.036496350,11.221476510,13.153846154,12.825000000,13.036496350,19.000000000,11.221476510
17.991631799,13.153846154,12.825000000,13.036496350,11.221476510,13.153846154,12.825000000,13.036496350,19.000000000,11.221476510
17.647058824,12.697674419,12.403361345,12.573529412,10.897959184,12.697674419,12.403361345,12.573529412,18.000000000,10.897959184
17.299578059,12.697674419,12.403361345,12.533333333,10.849315068,12.697674419,12.403361345,12.533333333,18.000000000,10.849315068
17.647058824,12.738461538,12.403361345,12.451127820,10.849315068,12.738461538,12.403361345,12.451127820,18.000000000,10.849315068
17.647058824,12.255813953,11.957627119,12.015037594,10.551724138,12.255813953,11.957627119,12.015037594,17.000000000,10.551724138
17.991631799,12.292307692,11.957627119,12.015037594,10.551724138,12.292307692,11.957627119,12.015037594,17.000000000,10.551724138
17.647058824,12.292307692,11.957627119,11.938931298,10.506944444,12.292307692,11.957627119,11.938931298,17.000000000,10.506944444
17.991631799,12.778625954,12.403361345,12.409090909,10.849315068,12.778625954,12.403361345,12.409090909,18.000000000,10.849315068
18.672199170,13.142857143,12.825000000,12.857142857,11.168918919,13.142857143,12.825000000,12.857142857,19.000000000,11.168918919
18.672199170,13.142857143,12.825000000,12.857142857,11.168918919,13.142857143,12.825000000,12.857142857,19.000000000,11.168918919
18.333333333,12.681818182,12.403361345,12.409090909,10.849315068,12.681818182,12.403361345,12.409090909,18.000000000,10.849315068
18.672199170,13.142857143,12.825000000,12.857142857,11.168918919,13.142857143,12.825000000,12.857142857,19.000000000,11.168918919
18.672199170,13.142857143,12.773109244,12.857142857,11.168918919,13.142857143,12.773109244,12.857142857,19.000000000,11.168918919
18.518518519,13.142857143,12.773109244,12.761194030,11.020000000,13.142857143,12.773109244,12.761194030,19.000000000,11.020000000
19.183673469,13.582089552,13.166666667,13.185185185,11.241830065,13.582089552,13.166666667,13.185185185,20.000000000,11.241830065
19.183673469,13.629629630,13.166666667,13.134328358,11.184210526,13.629629630,13.166666667,13.134328358,20.000000000,11.184210526
19.183673469,13.629629630,13.166666667,13.134328358,11.184210526,13.629629630,13.166666667,13.134328358,20.000000000,11.184210526
18.852459016,13.186567164,12.773109244,12.714285714,10.893333333,13.186567164,12.773109244,12.714285714,19.000000000,10.893333333
18.852459016,13.142857143,12.773109244,12.714285714,10.947019868,13.142857143,12.773109244,12.714285714,19.000000000,10.947019868
18.518518519,13.098484848,12.773109244,12.714285714,10.947019868,13.098484848,12.773109244,12.714285714,19.000000000,10.947019868
18.518518519,13.098484848,12.773109244,12.714285714,10.947019868,13.098484848,12.773109244,12.714285714,19.000000000,10.947019868
18.518518519,13.098484848,12.773109244,12.714285714,10.947019868,13.098484848,12.773109244,12.714285714,19.000000000,10.947019868
17.842323651,12.738461538,12.355932203,12.272727273,10.630872483,12.738461538,12.355932203,12.272727273,18.000000000,10.630872483
17.842323651,12.738461538,12.355932203,12.272727273,10.630872483,12.738461538,12.355932203,12.272727273,18.000000000,10.630872483
19.341563786,13.000000000,12.773109244,12.714285714,11.020000000,13.000000000,12.773109244,12.714285714,19.000000000,11.020000000
19.341563786,13.000000000,12.773109244,12.714285714,11.020000000,13.000000000,12.773109244,12.714285714,19.000000000,11.020000000
19.341563786,13.000000000,12.773109244,12.714285714,11.020000000,13.000000000,12.773109244,12.714285714,19.000000000,11.020000000
19.341563786,13.000000000,12.773109244,12.714285714,11.020000000,13.000000000,12.773109244,12.714285714,19.000000000,11.020000000
20.647773279,12.713235294,12.459016393,12.343065693,10.528662420,12.713235294,12.459016393,12.343065693,19.000000000,10.528662420
20.647773279,12.713235294,12.459016393,12.343065693,10.528662420,12.713235294,12.459016393,12.343065693,19.000000000,10.528662420
20.325203252,12.713235294,12.459016393,12.294117647,10.474358974,12.713235294,12.459016393,12.294117647,19.000000000,10.474358974
20.647773279,13.138686131,12.845528455,12.700729927,10.759493671,13.138686131,12.845528455,12.700729927,20.000000000,10.759493671
20.647773279,13.489051095,13.209677419,13.086956522,11.025000000,13.489051095,13.209677419,13.086956522,21.000000000,11.025000000
20.967741935,13.489051095,13.209677419,13.143884892,11.086956522,13.489051095,13.209677419,13.143884892,21.000000000,11.086956522
20.967741935,13.489051095,13.209677419,13.143884892,11.086956522,13.489051095,13.209677419,13.143884892,21.000000000,11.086956522
20.967741935,13.489051095,13.209677419,13.143884892,11.086956522,13.489051095,13.209677419,13.143884892,21.000000000,11.086956522
20.967741935,13.489051095,13.209677419,13.143884892,11.086956522,13.489051095,13.209677419,13.143884892,21.000000000,11.086956522
20.967741935,13.489051095,13.209677419,13.143884892,11.086956522,13.489051095,13.209677419,13.143884892,21.000000000,11.086956522
20.647773279,13.088235294,12.845528455,12.753623188,10.817610063,13.088235294,12.845528455,12.753623188,20.000000000,10.817610063
20.325203252,12.666666667,12.459016393,12.343065693,10.528662420,12.666666667,12.459016393,12.343065693,19.000000000,10.528662420
20.647773279,13.088235294,12.845528455,12.753623188,10.817610063,13.088235294,12.845528455,12.753623188,20.000000000,10.817610063
20.967741935,13.138686131,12.845528455,12.753623188,10.817610063,13.138686131,12.845528455,12.753623188,20.000000000,10.817610063
22.088353414,13.446043165,13.166666667,13.050000000,11.018518519,13.446043165,13.166666667,13.050000000,21.000000000,11.018518519
21.774193548,13.446043165,13.166666667,12.992805755,10.956521739,13.446043165,13.166666667,12.992805755,21.000000000,10.956521739
21.774193548,13.446043165,13.166666667,12.992805755,10.956521739,13.446043165,13.166666667,12.992805755,21.000000000,10.956521739
21.774193548,13.446043165,13.166666667,12.992805755,10.956521739,13.446043165,13.166666667,12.992805755,21.000000000,10.956521739
22.088353414,13.500000000,13.166666667,12.992805755,10.956521739,13.500000000,13.166666667,12.992805755,21.000000000,10.956521739
22.088353414,13.500000000,13.166666667,12.992805755,10.956521739,13.500000000,13.166666667,12.992805755,21.000000000,10.956521739
22.088353414,13.500000000,13.166666667,12.992805755,10.956521739,13.500000000,13.166666667,12.992805755,21.000000000,10.956521739
22.088353414,13.500000000,13.166666667,12.992805755,10.956521739,13.500000000,13.166666667,12.992805755,21.000000000,10.956521739
21.774193548,13.093525180,12.800000000,12.608695652,10.691823899,13.093525180,12.800000000,12.608695652,20.000000000,10.691823899
22.400000000,13.191489362,12.800000000,12.554744526,10.691823899,13.191489362,12.800000000,12.554744526,20.000000000,10.691823899
22.400000000,13.191489362,12.800000000,12.554744526,10.691823899,13.191489362,12.800000000,12.554744526,20.000000000,10.691823899
22.088353414,13.142857143,12.800000000,12.554744526,10.691823899,13.142857143,12.800000000,12.554744526,20.000000000,10.691823899
22.088353414,13.142857143,12.800000000,12.554744526,10.691823899,13.142857143,12.800000000,12.554744526,20.000000000,10.691823899
21.457489879,12.804347826,12.512195122,12.244444444,10.541935484,12.804347826,12.512195122,12.244444444,19.000000000,10.541935484
21.774193548,12.848920863,12.512195122,12.244444444,10.541935484,12.848920863,12.512195122,12.244444444,19.000000000,10.541935484
23.200000000,13.191489362,12.903225806,12.554744526,10.828025478,13.191489362,12.903225806,12.554744526,20.000000000,10.828025478
23.505976096,13.239436620,12.903225806,12.500000000,10.828025478,13.239436620,12.903225806,12.500000000,20.000000000,10.828025478
23.200000000,13.191489362,12.903225806,12.500000000,10.828025478,13.191489362,12.903225806,12.500000000,20.000000000,10.828025478
23.200000000,13.191489362,12.903225806,12.500000000,10.828025478,13.191489362,12.903225806,12.500000000,20.000000000,10.828025478
23.200000000,13.191489362,12.903225806,12.500000000,10.828025478,13.191489362,12.903225806,12.500000000,20.000000000,10.828025478
24.000000000,13.605633803,13.272000000,12.875912409,11.164556962,13.605633803,13.272000000,12.875912409,21.000000000,11.164556962
24.302788845,13.657342657,13.272000000,12.875912409,11.164556962,13.657342657,13.272000000,12.875912409,21.000000000,11.164556962
24.302788845,13.657342657,13.272000000,12.875912409,11.164556962,13.657342657,13.272000000,12.875912409,21.000000000,11.164556962
25.691699605,13.958620690,13.511811024,13.042857143,11.271604938,13.958620690,13.511811024,13.042857143,22.000000000,11.271604938
25.099601594,13.562500000,13.166666667,12.782608696,11.094339623,13.562500000,13.166666667,12.782608696,21.000000000,11.094339623
25.396825397,13.613793103,13.166666667,12.722627737,11.094339623,13.613793103,13.166666667,12.722627737,21.000000000,11.094339623
