"'ChainSuccession(Assign seriousness, Take in charge ticket)'",'AtMostOne(Take in charge ticket)',"'AlternateSuccession(Take in charge ticket, Closed)'","'AlternateSuccession(Take in charge ticket, Resolve ticket)'","'AlternatePrecedence(Assign seriousness, Wait)'","'ChainPrecedence(Take in charge ticket, Wait)'"
82.352941176,78.000000000,87.120000000,90.212765957,90.476190476,90.476190476
82.352941176,78.000000000,87.120000000,90.212765957,90.476190476,90.476190476
82.352941176,78.000000000,87.120000000,90.212765957,90.476190476,90.476190476
82.352941176,78.000000000,87.120000000,89.830508475,90.476190476,90.476190476
82.352941176,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.352941176,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.700421941,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.700421941,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.700421941,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.700421941,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.700421941,79.000000000,87.508928571,90.212765957,90.000000000,90.000000000
82.352941176,79.000000000,87.120000000,90.295358650,90.000000000,90.000000000
82.352941176,79.000000000,87.120000000,89.915966387,90.000000000,90.000000000
83.050847458,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.404255319,80.000000000,87.901345291,90.677966102,94.444444444,88.888888889
83.050847458,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.050847458,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.404255319,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.404255319,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.404255319,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.404255319,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.404255319,79.000000000,87.508928571,90.756302521,94.444444444,88.888888889
83.760683761,80.000000000,87.901345291,91.139240506,94.117647059,88.235294118
83.760683761,80.000000000,87.901345291,91.139240506,94.117647059,88.235294118
84.120171674,81.000000000,88.297297297,91.525423729,93.750000000,87.500000000
83.404255319,80.000000000,87.508928571,91.213389121,94.117647059,88.235294118
82.700421941,80.000000000,87.508928571,91.213389121,94.117647059,88.235294118
82.352941176,79.000000000,87.120000000,90.833333333,94.444444444,88.888888889
82.352941176,79.000000000,87.120000000,90.833333333,94.444444444,88.888888889
81.512605042,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
81.856540084,80.000000000,87.508928571,91.213389121,94.444444444,83.333333333
81.856540084,80.000000000,87.508928571,91.213389121,94.444444444,83.333333333
81.856540084,80.000000000,87.508928571,91.213389121,94.444444444,83.333333333
82.553191489,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
82.553191489,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
82.553191489,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
82.553191489,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
82.553191489,79.000000000,87.120000000,90.833333333,94.736842105,84.210526316
82.700421941,78.000000000,86.352422907,90.534979424,94.736842105,89.473684211
82.008368201,77.000000000,85.598253275,90.243902439,95.000000000,90.000000000
82.008368201,77.000000000,85.598253275,90.243902439,95.000000000,90.000000000
82.352941176,78.000000000,85.973684211,90.612244898,94.736842105,89.473684211
82.700421941,79.000000000,86.352422907,90.534979424,94.736842105,89.473684211
82.352941176,79.000000000,86.352422907,91.286307054,94.736842105,89.473684211
82.352941176,79.000000000,86.352422907,91.735537190,94.444444444,88.888888889
82.008368201,79.000000000,86.352422907,91.735537190,94.444444444,88.888888889
82.352941176,80.000000000,86.734513274,92.050209205,94.444444444,88.888888889
82.008368201,79.000000000,86.352422907,91.666666667,94.736842105,89.473684211
81.327800830,78.000000000,85.973684211,91.286307054,95.000000000,90.000000000
81.327800830,78.000000000,85.973684211,91.286307054,95.000000000,90.000000000
81.666666667,79.000000000,86.352422907,91.666666667,94.736842105,89.473684211
81.327800830,78.000000000,85.973684211,91.286307054,95.000000000,90.000000000
81.327800830,78.000000000,86.352422907,91.286307054,95.000000000,90.000000000
81.481481481,77.000000000,85.598253275,90.983606557,95.000000000,95.000000000
80.816326531,76.000000000,84.857142857,90.243902439,95.238095238,95.238095238
80.816326531,77.000000000,85.226086957,90.163934426,95.238095238,95.238095238
80.816326531,77.000000000,85.226086957,90.163934426,95.238095238,95.238095238
81.147540984,78.000000000,85.598253275,90.534979424,95.000000000,95.000000000
81.147540984,77.000000000,85.226086957,90.163934426,95.000000000,95.000000000
81.481481481,77.000000000,85.226086957,90.163934426,95.000000000,95.000000000
81.481481481,77.000000000,85.226086957,90.163934426,95.000000000,95.000000000
81.481481481,77.000000000,85.226086957,90.163934426,95.000000000,95.000000000
82.157676349,78.000000000,85.598253275,90.534979424,94.736842105,94.736842105
82.157676349,78.000000000,85.598253275,90.534979424,94.736842105,94.736842105
80.658436214,78.000000000,85.598253275,90.534979424,95.000000000,90.000000000
80.658436214,78.000000000,85.598253275,90.534979424,95.000000000,90.000000000
80.658436214,78.000000000,85.598253275,90.534979424,95.000000000,90.000000000
80.658436214,78.000000000,85.598253275,90.534979424,95.000000000,90.000000000
79.352226721,78.000000000,84.128755365,89.516129032,82.608695652,91.304347826
79.352226721,78.000000000,84.128755365,89.516129032,82.608695652,91.304347826
79.674796748,78.000000000,84.491379310,89.430894309,82.608695652,91.304347826
79.352226721,77.000000000,84.128755365,89.068825911,83.333333333,91.666666667
79.352226721,76.000000000,83.769230769,88.709677419,84.000000000,92.000000000
79.032258065,75.000000000,83.412765957,88.800000000,84.000000000,92.000000000
79.032258065,75.000000000,83.412765957,88.800000000,84.000000000,92.000000000
79.032258065,75.000000000,83.412765957,88.800000000,84.000000000,92.000000000
79.032258065,75.000000000,83.412765957,88.800000000,84.000000000,92.000000000
79.032258065,75.000000000,83.412765957,88.800000000,84.000000000,92.000000000
79.352226721,76.000000000,83.769230769,89.156626506,83.333333333,91.666666667
79.674796748,77.000000000,84.128755365,89.516129032,82.608695652,91.304347826
79.352226721,76.000000000,83.769230769,89.156626506,83.333333333,91.666666667
79.032258065,76.000000000,83.769230769,89.156626506,83.333333333,91.666666667
77.911646586,75.000000000,84.745762712,88.800000000,80.769230769,88.461538462
78.225806452,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
78.225806452,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
78.225806452,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
77.911646586,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
77.911646586,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
77.911646586,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
77.911646586,76.000000000,85.106382979,88.709677419,80.769230769,88.461538462
78.225806452,77.000000000,85.470085470,89.068825911,80.000000000,88.000000000
77.600000000,77.000000000,85.470085470,89.430894309,80.000000000,88.000000000
77.600000000,77.000000000,85.470085470,89.430894309,80.000000000,88.000000000
77.911646586,77.000000000,85.470085470,89.430894309,80.000000000,88.000000000
77.911646586,77.000000000,85.470085470,89.430894309,80.000000000,88.000000000
78.542510121,78.000000000,86.206896552,90.163934426,82.608695652,86.956521739
78.225806452,78.000000000,86.206896552,90.163934426,82.608695652,86.956521739
76.800000000,77.000000000,85.836909871,90.243902439,83.333333333,83.333333333
76.494023904,77.000000000,85.836909871,90.612244898,83.333333333,83.333333333
76.800000000,77.000000000,85.836909871,90.612244898,83.333333333,83.333333333
76.800000000,77.000000000,85.836909871,90.612244898,83.333333333,83.333333333
76.800000000,77.000000000,85.836909871,90.612244898,83.333333333,83.333333333
76.000000000,77.000000000,85.836909871,90.612244898,84.000000000,80.000000000
75.697211155,77.000000000,85.836909871,90.612244898,84.000000000,80.000000000
75.697211155,77.000000000,85.836909871,90.612244898,84.000000000,80.000000000
74.308300395,76.000000000,85.106382979,90.322580645,81.481481481,77.777777778
74.900398406,77.000000000,85.836909871,90.612244898,80.769230769,76.923076923
74.603174603,77.000000000,85.836909871,90.983606557,80.769230769,76.923076923
73.809523810,77.000000000,85.836909871,90.983606557,81.481481481,74.074074074
73.809523810,77.000000000,85.836909871,90.983606557,81.481481481,74.074074074
73.517786561,76.000000000,85.470085470,90.612244898,82.142857143,75.000000000
73.228346457,75.000000000,85.106382979,90.688259109,82.142857143,75.000000000
73.228346457,75.000000000,85.106382979,90.322580645,82.142857143,75.000000000
73.228346457,74.000000000,84.745762712,89.959839357,82.758620690,75.862068966
73.228346457,74.000000000,84.745762712,89.959839357,82.758620690,75.862068966
73.517786561,75.000000000,85.106382979,89.878542510,82.758620690,75.862068966
73.228346457,74.000000000,84.745762712,89.516129032,83.333333333,76.666666667
72.373540856,73.000000000,84.388185654,89.156626506,83.870967742,77.419354839
71.814671815,72.000000000,84.033613445,88.800000000,84.375000000,78.125000000
71.264367816,71.000000000,83.682008368,88.446215139,84.848484848,78.787878788
71.264367816,71.000000000,83.682008368,88.446215139,84.848484848,78.787878788
71.264367816,71.000000000,83.682008368,88.446215139,84.848484848,78.787878788
70.992366412,70.000000000,83.333333333,88.095238095,85.294117647,79.411764706
70.992366412,70.000000000,83.333333333,88.095238095,85.294117647,79.411764706
70.992366412,70.000000000,83.333333333,88.095238095,85.294117647,79.411764706
71.264367816,70.000000000,83.682008368,88.000000000,85.294117647,79.411764706
71.814671815,70.000000000,83.682008368,88.000000000,85.294117647,79.411764706
71.814671815,70.000000000,83.682008368,88.000000000,85.294117647,79.411764706
71.814671815,70.000000000,83.682008368,88.000000000,85.294117647,79.411764706
72.586872587,70.000000000,83.682008368,88.000000000,84.848484848,81.818181818
72.586872587,70.000000000,83.682008368,88.000000000,84.848484848,81.818181818
72.586872587,70.000000000,83.682008368,88.000000000,84.848484848,81.818181818
72.307692308,70.000000000,83.682008368,88.000000000,84.848484848,81.818181818
72.586872587,71.000000000,84.033613445,88.353413655,84.375000000,81.250000000
72.586872587,71.000000000,84.033613445,88.353413655,84.375000000,81.250000000
72.868217054,72.000000000,84.388185654,88.709677419,83.870967742,80.645161290
72.586872587,72.000000000,84.388185654,88.709677419,83.870967742,80.645161290
72.586872587,72.000000000,84.388185654,88.709677419,83.870967742,80.645161290
73.151750973,73.000000000,85.106382979,88.979591837,83.333333333,80.000000000
73.725490196,74.000000000,85.836909871,89.256198347,82.758620690,79.310344828
72.941176471,74.000000000,85.836909871,89.256198347,83.333333333,76.666666667
72.941176471,74.000000000,85.836909871,89.256198347,83.333333333,76.666666667
72.373540856,73.000000000,85.106382979,88.524590164,81.250000000,78.125000000
72.656250000,72.000000000,84.745762712,88.163265306,81.818181818,78.787878788
72.941176471,73.000000000,85.106382979,88.065843621,81.818181818,78.787878788
73.228346457,73.000000000,85.106382979,88.065843621,81.818181818,78.787878788
73.228346457,73.000000000,85.106382979,88.065843621,81.818181818,78.787878788
73.517786561,74.000000000,85.470085470,88.429752066,81.250000000,78.125000000
73.517786561,74.000000000,85.106382979,88.524590164,81.250000000,78.125000000
73.517786561,74.000000000,85.106382979,88.524590164,81.250000000,78.125000000
73.228346457,73.000000000,84.745762712,88.163265306,81.818181818,78.787878788
73.517786561,74.000000000,85.106382979,88.524590164,81.250000000,78.125000000
72.373540856,73.000000000,84.388185654,88.259109312,81.818181818,78.787878788
72.656250000,74.000000000,85.106382979,88.524590164,81.250000000,78.125000000
72.656250000,74.000000000,85.106382979,88.979591837,81.250000000,78.125000000
72.941176471,74.000000000,85.106382979,88.979591837,81.250000000,78.125000000
72.941176471,74.000000000,85.106382979,88.979591837,81.250000000,78.125000000
72.373540856,73.000000000,84.745762712,89.068825911,81.818181818,78.787878788
72.656250000,74.000000000,85.106382979,89.430894309,81.818181818,78.787878788
72.656250000,74.000000000,85.106382979,89.430894309,81.818181818,78.787878788
72.093023256,73.000000000,84.388185654,89.156626506,82.352941176,79.411764706
71.538461538,72.000000000,83.682008368,88.888888889,82.857142857,80.000000000
71.538461538,72.000000000,83.682008368,88.888888889,82.857142857,80.000000000
71.538461538,72.000000000,83.682008368,88.888888889,82.857142857,80.000000000
72.868217054,72.000000000,83.682008368,88.888888889,82.352941176,82.352941176
72.868217054,72.000000000,83.682008368,88.888888889,82.352941176,82.352941176
72.868217054,72.000000000,83.682008368,88.888888889,82.352941176,82.352941176
72.307692308,71.000000000,82.987551867,88.627450980,82.857142857,82.857142857
72.656250000,71.000000000,84.388185654,89.600000000,87.878787879,78.787878788
72.656250000,71.000000000,84.388185654,89.600000000,87.878787879,78.787878788
72.941176471,72.000000000,84.745762712,89.516129032,87.878787879,78.787878788
72.941176471,72.000000000,84.745762712,89.516129032,87.878787879,78.787878788
73.228346457,73.000000000,85.106382979,89.878542510,87.500000000,78.125000000
73.517786561,74.000000000,85.470085470,89.795918367,87.500000000,78.125000000
72.941176471,73.000000000,85.106382979,89.430894309,87.878787879,78.787878788
72.373540856,72.000000000,84.745762712,89.068825911,88.235294118,79.411764706
71.814671815,71.000000000,84.388185654,88.709677419,88.571428571,80.000000000
71.814671815,71.000000000,84.388185654,88.709677419,88.571428571,80.000000000
71.814671815,71.000000000,84.388185654,88.709677419,88.571428571,80.000000000
71.538461538,70.000000000,84.033613445,88.353413655,88.888888889,80.555555556
71.814671815,71.000000000,84.388185654,88.709677419,88.571428571,80.000000000
70.992366412,70.000000000,83.682008368,88.888888889,88.571428571,80.000000000
71.755725191,70.000000000,83.682008368,89.328063241,90.909090909,81.818181818
71.482889734,69.000000000,83.333333333,88.976377953,91.176470588,82.352941176
71.482889734,69.000000000,83.333333333,88.976377953,91.176470588,82.352941176
70.722433460,69.000000000,83.333333333,88.976377953,91.428571429,80.000000000
70.992366412,69.000000000,83.333333333,88.976377953,91.428571429,80.000000000
70.992366412,69.000000000,83.333333333,88.976377953,91.428571429,80.000000000
70.992366412,69.000000000,83.333333333,88.976377953,91.428571429,80.000000000
69.961977186,68.000000000,82.987551867,88.627450980,89.189189189,78.378378378
69.201520913,68.000000000,82.987551867,88.627450980,89.473684211,76.315789474
69.465648855,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
69.465648855,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
69.465648855,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
69.465648855,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
69.465648855,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
69.731800766,67.000000000,82.644628099,88.281250000,89.743589744,76.923076923
71.042471042,68.000000000,82.987551867,88.188976378,89.473684211,78.947368421
71.317829457,68.000000000,82.987551867,88.188976378,89.473684211,78.947368421
71.317829457,68.000000000,82.987551867,88.188976378,89.473684211,78.947368421
71.317829457,68.000000000,82.987551867,88.188976378,89.473684211,78.947368421
71.042471042,67.000000000,82.644628099,88.281250000,89.473684211,78.947368421
71.538461538,66.000000000,82.304526749,87.937743191,89.473684211,81.578947368
71.814671815,66.000000000,82.304526749,87.937743191,89.473684211,81.578947368
71.042471042,66.000000000,82.304526749,87.937743191,89.743589744,79.487179487
72.373540856,67.000000000,82.987551867,88.188976378,91.891891892,81.081081081
72.373540856,67.000000000,82.987551867,88.188976378,91.891891892,81.081081081
72.656250000,67.000000000,82.987551867,88.188976378,91.891891892,81.081081081
73.151750973,66.000000000,82.644628099,87.843137255,91.891891892,83.783783784
72.868217054,66.000000000,82.644628099,87.843137255,91.891891892,83.783783784
73.151750973,67.000000000,82.987551867,88.188976378,91.666666667,83.333333333
73.437500000,68.000000000,83.333333333,88.095238095,91.666666667,83.333333333
73.437500000,68.000000000,83.333333333,88.446215139,91.666666667,83.333333333
73.725490196,69.000000000,83.682008368,88.800000000,91.428571429,82.857142857
73.725490196,69.000000000,83.682008368,88.800000000,91.428571429,82.857142857
73.437500000,69.000000000,83.682008368,88.800000000,91.428571429,82.857142857
73.725490196,70.000000000,84.033613445,89.156626506,91.176470588,82.352941176
74.308300395,71.000000000,84.388185654,89.516129032,90.909090909,81.818181818
74.900398406,72.000000000,84.745762712,89.878542510,90.625000000,81.250000000
75.502008032,73.000000000,85.106382979,90.243902439,90.322580645,80.645161290
75.502008032,73.000000000,85.106382979,90.243902439,90.322580645,80.645161290
75.200000000,73.000000000,85.106382979,90.243902439,90.322580645,80.645161290
75.502008032,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.502008032,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.502008032,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.806451613,75.000000000,85.836909871,90.983606557,89.655172414,79.310344828
75.502008032,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.806451613,75.000000000,85.836909871,90.983606557,89.655172414,79.310344828
75.806451613,75.000000000,85.836909871,90.983606557,89.655172414,79.310344828
75.502008032,75.000000000,85.836909871,90.983606557,89.655172414,79.310344828
75.200000000,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.200000000,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.502008032,74.000000000,85.470085470,90.612244898,90.000000000,80.000000000
75.200000000,73.000000000,85.106382979,90.243902439,90.322580645,80.645161290
75.200000000,73.000000000,85.106382979,90.243902439,90.322580645,80.645161290
74.103585657,72.000000000,84.745762712,89.878542510,87.878787879,78.787878788
74.400000000,72.000000000,84.745762712,89.878542510,87.878787879,78.787878788
74.400000000,72.000000000,84.745762712,89.878542510,87.878787879,78.787878788
74.103585657,72.000000000,84.745762712,89.878542510,87.878787879,78.787878788
73.809523810,72.000000000,84.745762712,89.878542510,87.878787879,78.787878788
74.603174603,72.000000000,84.745762712,89.878542510,87.500000000,81.250000000
74.603174603,72.000000000,84.745762712,89.878542510,87.500000000,81.250000000
74.603174603,72.000000000,84.745762712,90.322580645,90.322580645,80.645161290
74.900398406,73.000000000,85.106382979,90.688259109,90.000000000,80.000000000
74.015748031,72.000000000,84.388185654,89.959839357,87.500000000,81.250000000
74.015748031,72.000000000,84.388185654,89.959839357,87.500000000,81.250000000
73.725490196,71.000000000,84.033613445,89.600000000,87.878787879,81.818181818
73.151750973,70.000000000,83.333333333,89.328063241,88.235294118,82.352941176
73.437500000,70.000000000,83.682008368,89.243027888,88.235294118,82.352941176
73.437500000,70.000000000,83.682008368,89.243027888,88.235294118,82.352941176
73.725490196,71.000000000,84.033613445,89.600000000,87.878787879,81.818181818
73.437500000,71.000000000,84.033613445,89.600000000,87.878787879,81.818181818
74.308300395,71.000000000,84.388185654,89.516129032,87.878787879,81.818181818
73.809523810,71.000000000,84.388185654,89.516129032,88.235294118,79.411764706
74.400000000,72.000000000,85.106382979,89.795918367,87.878787879,78.787878788
74.103585657,71.000000000,84.745762712,89.430894309,88.235294118,79.411764706
74.103585657,71.000000000,84.745762712,89.430894309,88.235294118,79.411764706
74.698795181,72.000000000,85.106382979,89.344262295,87.878787879,78.787878788
74.400000000,71.000000000,84.745762712,88.979591837,88.235294118,79.411764706
74.400000000,71.000000000,84.745762712,88.979591837,88.235294118,79.411764706
74.698795181,71.000000000,85.106382979,88.888888889,88.235294118,79.411764706
74.400000000,71.000000000,85.106382979,88.888888889,88.235294118,79.411764706
74.400000000,71.000000000,85.106382979,88.888888889,88.235294118,79.411764706
