"'AlternateResponse(Assign seriousness, Wait)'","'NotChainSuccession(Assign seriousness, Wait)'","'RespondedExistence(Closed, Wait)'","'NotSuccession(Closed, Wait)'","'RespondedExistence(Resolve ticket, Wait)'","'NotSuccession(Resolve ticket, Wait)'","'ChainResponse(Take in charge ticket, Wait)'",'AtMostOne(Wait)',"'RespondedExistence(Wait, Assign seriousness)'","'NotSuccession(Wait, Assign seriousness)'","'AlternateResponse(Wait, Closed)'","'NotChainSuccession(Wait, Closed)'","'AlternateResponse(Wait, Resolve ticket)'","'RespondedExistence(Wait, Take in charge ticket)'","'NotSuccession(Wait, Take in charge ticket)'"
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.636363636,12.808823529,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
11.550000000,13.794117647,14.705882353,14.000000000,15.929203540,13.565891473,11.666666667,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.602941176
11.550000000,13.794117647,14.705882353,14.000000000,15.929203540,13.565891473,11.666666667,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.602941176
11.454545455,13.795620438,14.705882353,14.000000000,15.929203540,13.565891473,11.666666667,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.602941176
11.454545455,13.795620438,14.705882353,14.000000000,15.929203540,13.565891473,11.764705882,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.577777778
11.454545455,13.795620438,14.705882353,14.000000000,16.071428571,13.562500000,11.864406780,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.552238806
11.454545455,13.795620438,14.705882353,14.000000000,16.071428571,13.562500000,11.864406780,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.552238806
11.454545455,13.795620438,14.705882353,14.000000000,16.071428571,13.562500000,11.864406780,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.552238806
12.375000000,14.781021898,15.686274510,15.000000000,16.964285714,14.534883721,12.605042017,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.139705882
12.375000000,14.781021898,15.686274510,15.000000000,16.964285714,14.534883721,12.605042017,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.139705882
13.200000000,15.769784173,16.666666667,16.000000000,17.857142857,15.511450382,14.049586777,15.520000000,16.000000000,16.000000000,13.473684211,16.000000000,14.315789474,16.000000000,11.542857143
13.090909091,15.771428571,16.666666667,16.000000000,17.857142857,15.511450382,14.049586777,15.520000000,16.000000000,16.000000000,13.473684211,16.000000000,14.315789474,16.000000000,11.542857143
13.200000000,15.769784173,16.666666667,16.000000000,17.857142857,15.511450382,14.049586777,15.520000000,16.000000000,16.000000000,13.473684211,16.000000000,14.315789474,16.000000000,11.542857143
13.310924370,15.768115942,16.666666667,16.000000000,17.857142857,15.511450382,14.049586777,15.520000000,16.000000000,16.000000000,13.473684211,16.000000000,14.315789474,16.000000000,11.542857143
12.584745763,14.779411765,15.686274510,15.000000000,16.964285714,14.538461538,13.333333333,14.550000000,15.000000000,15.000000000,12.500000000,15.000000000,13.333333333,15.000000000,10.978260870
11.647058824,13.794117647,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
11.745762712,13.792592593,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
11.745762712,13.792592593,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
11.745762712,13.792592593,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
11.647058824,13.794117647,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
11.647058824,13.794117647,14.705882353,14.000000000,15.315315315,13.562500000,12.605042017,13.580000000,14.000000000,14.000000000,11.529411765,14.000000000,12.352941176,14.000000000,10.397058824
10.815126050,12.807407407,13.725490196,13.000000000,14.414414414,12.590551181,11.864406780,12.610000000,13.000000000,13.000000000,10.562500000,13.000000000,11.375000000,13.000000000,9.798507463
9.983193277,11.819548872,12.745098039,12.000000000,13.513513514,11.616000000,11.111111111,11.760000000,12.000000000,12.000000000,10.285714286,12.000000000,11.142857143,12.000000000,9.251908397
9.983193277,11.819548872,12.745098039,12.000000000,13.513513514,11.616000000,11.111111111,11.760000000,12.000000000,12.000000000,10.285714286,12.000000000,11.142857143,12.000000000,9.251908397
10.815126050,12.805970149,13.725490196,13.000000000,14.545454545,12.584000000,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.815126050,12.805970149,13.725490196,13.000000000,14.545454545,12.584000000,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
11.647058824,13.792592593,14.705882353,14.000000000,15.596330275,13.552000000,12.711864407,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.447761194
11.647058824,13.792592593,14.705882353,14.000000000,15.596330275,13.552000000,12.711864407,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.447761194
10.815126050,12.805970149,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.815126050,12.805970149,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
9.983193277,11.819548872,11.881188119,12.000000000,13.761467890,11.609756098,11.206896552,11.760000000,12.000000000,12.000000000,10.285714286,12.000000000,11.142857143,12.000000000,9.230769231
9.983193277,11.819548872,11.881188119,12.000000000,13.761467890,11.609756098,11.206896552,11.760000000,12.000000000,12.000000000,10.285714286,12.000000000,11.142857143,12.000000000,9.230769231
10.815126050,12.805970149,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.815126050,12.805970149,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.815126050,12.805970149,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.636363636,12.808823529,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
10.636363636,12.808823529,12.871287129,13.000000000,14.678899083,12.580645161,11.965811966,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.848484848
11.454545455,13.795620438,13.861386139,14.000000000,15.596330275,13.552000000,12.711864407,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.447761194
11.454545455,13.795620438,13.861386139,14.000000000,15.596330275,13.552000000,12.711864407,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.447761194
11.454545455,13.795620438,13.861386139,14.000000000,15.596330275,13.552000000,12.711864407,13.720000000,14.000000000,14.000000000,12.250000000,14.000000000,13.125000000,14.000000000,10.447761194
12.272727273,14.565217391,14.851485149,15.000000000,16.513761468,14.523809524,12.711864407,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.000000000
12.272727273,14.565217391,14.851485149,15.000000000,16.513761468,14.523809524,12.711864407,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.000000000
12.272727273,14.565217391,14.851485149,15.000000000,16.513761468,14.523809524,12.711864407,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.000000000
13.090909091,15.539568345,15.841584158,16.000000000,17.431192661,15.496062992,13.445378151,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.562043796
13.090909091,15.539568345,15.841584158,16.000000000,17.272727273,15.500000000,13.333333333,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.594202899
12.272727273,14.782608696,14.851485149,15.000000000,16.071428571,14.534883721,13.333333333,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.058394161
13.090909091,15.769784173,15.841584158,16.000000000,16.964285714,15.507692308,14.049586777,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.200000000,15.768115942,15.841584158,16.000000000,16.964285714,15.507692308,14.049586777,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.200000000,15.768115942,15.841584158,16.000000000,16.666666667,15.515151515,13.934426230,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
13.200000000,15.768115942,15.841584158,16.000000000,16.666666667,15.515151515,13.934426230,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
13.310924370,15.766423358,15.841584158,16.000000000,16.666666667,15.515151515,13.934426230,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
12.584745763,14.777777778,14.851485149,15.000000000,15.789473684,14.541984733,13.223140496,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.086956522
13.538461538,15.762962963,15.841584158,16.000000000,16.666666667,15.515151515,13.934426230,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
13.538461538,15.762962963,15.841584158,16.000000000,16.666666667,15.515151515,13.934426230,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
12.692307692,14.776119403,14.705882353,15.000000000,15.789473684,14.541984733,13.223140496,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.086956522
13.538461538,15.525925926,15.686274510,16.000000000,16.666666667,15.515151515,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.538461538,15.525925926,15.686274510,16.000000000,16.666666667,15.515151515,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.538461538,15.525925926,15.686274510,16.000000000,16.521739130,15.518796992,13.114754098,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
13.538461538,15.525925926,15.686274510,16.000000000,16.521739130,15.518796992,13.114754098,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.657142857
13.538461538,15.525925926,15.686274510,16.000000000,15.789473684,15.757575758,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.423728814,15.529411765,15.686274510,16.000000000,15.789473684,15.757575758,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
12.584745763,14.555555556,14.705882353,15.000000000,14.912280702,14.770992366,12.500000000,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.058394161
12.584745763,14.555555556,14.705882353,15.000000000,15.044247788,14.769230769,12.500000000,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.058394161
12.584745763,14.555555556,14.705882353,15.000000000,15.044247788,14.769230769,12.500000000,14.700000000,15.000000000,15.000000000,13.235294118,15.000000000,14.117647059,15.000000000,11.058394161
13.310924370,15.532846715,15.686274510,16.000000000,15.929203540,15.755725191,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.333333333,15.536231884,15.686274510,16.000000000,16.216216216,15.751937984,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.333333333,15.536231884,15.686274510,16.000000000,16.216216216,15.751937984,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.445378151,15.532846715,15.686274510,16.000000000,16.216216216,15.751937984,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.445378151,15.532846715,15.686274510,16.000000000,16.216216216,15.751937984,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
13.445378151,15.532846715,15.686274510,16.000000000,16.216216216,15.751937984,13.223140496,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.625899281
14.406779661,16.503649635,16.666666667,17.000000000,17.117117117,16.738461538,13.934426230,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.177304965
14.406779661,16.503649635,16.666666667,17.000000000,17.117117117,16.738461538,13.934426230,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.177304965
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
13.675213675,15.525925926,15.686274510,16.000000000,16.071428571,15.753846154,13.008130081,15.680000000,16.000000000,16.000000000,14.222222222,16.000000000,15.111111111,16.000000000,11.687943262
14.529914530,16.500000000,16.666666667,17.000000000,16.964285714,16.740458015,13.709677419,16.660000000,17.000000000,17.000000000,15.210526316,17.000000000,16.105263158,17.000000000,12.244755245
15.517241379,17.470588235,17.647058824,18.000000000,17.857142857,17.727272727,14.400000000,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,17.100000000,18.000000000,12.786206897
15.517241379,17.470588235,17.647058824,18.000000000,17.857142857,17.727272727,14.400000000,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,17.100000000,18.000000000,12.786206897
14.655172414,16.492537313,16.666666667,17.000000000,15.454545455,17.000000000,13.223140496,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.597122302
14.655172414,16.492537313,16.663366337,17.000000000,15.454545455,17.000000000,13.223140496,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.597122302
14.782608696,16.488721805,16.663366337,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
14.912280702,16.484848485,16.830000000,17.000000000,15.315315315,17.000000000,13.114754098,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.628571429
15.929203540,17.454545455,17.820000000,18.000000000,16.363636364,18.000000000,13.821138211,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.183098592
16.071428571,17.450381679,17.820000000,18.000000000,16.363636364,18.000000000,13.821138211,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.183098592
16.071428571,17.450381679,17.820000000,18.000000000,16.363636364,18.000000000,13.821138211,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.183098592
15.929203540,17.454545455,17.820000000,18.000000000,16.363636364,18.000000000,13.821138211,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.183098592
15.929203540,17.454545455,17.820000000,18.000000000,16.363636364,18.000000000,13.821138211,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.183098592
16.814159292,18.432835821,18.810000000,19.000000000,17.272727273,19.000000000,15.200000000,18.620000000,19.000000000,19.000000000,17.190476190,19.000000000,17.190476190,19.000000000,13.534246575
16.814159292,18.432835821,18.810000000,19.000000000,17.272727273,19.000000000,15.200000000,18.620000000,19.000000000,19.000000000,17.190476190,19.000000000,17.190476190,19.000000000,13.534246575
16.814159292,18.432835821,18.810000000,19.000000000,17.272727273,19.000000000,15.200000000,18.620000000,19.000000000,19.000000000,17.190476190,19.000000000,17.190476190,19.000000000,13.534246575
16.814159292,18.432835821,18.810000000,19.000000000,17.117117117,19.000000000,15.200000000,18.620000000,19.000000000,19.000000000,17.190476190,19.000000000,17.190476190,19.000000000,13.534246575
15.789473684,17.462686567,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.789473684,17.462686567,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.216216216,18.000000000,14.516129032,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.000000000
15.929203540,17.458646617,17.820000000,18.000000000,16.964285714,17.727272727,14.400000000,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.034482759
15.929203540,17.458646617,17.820000000,18.000000000,16.814159292,17.729323308,14.400000000,17.640000000,18.000000000,18.000000000,16.200000000,18.000000000,16.200000000,18.000000000,13.034482759
15.044247788,16.480916031,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.929203540,16.740458015,13.008130081,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.659574468
15.178571429,16.476923077,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.178571429,16.476923077,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.315315315,16.472868217,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.315315315,16.472868217,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.315315315,16.472868217,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.315315315,16.472868217,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
15.315315315,16.472868217,16.830000000,17.000000000,15.789473684,16.742424242,12.903225806,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
14.414414414,15.500000000,15.840000000,16.000000000,14.912280702,15.755725191,12.195121951,15.840000000,16.000000000,16.000000000,15.058823529,16.000000000,15.058823529,16.000000000,12.114285714
14.414414414,15.500000000,15.840000000,16.000000000,14.912280702,15.755725191,12.195121951,15.840000000,16.000000000,16.000000000,15.058823529,16.000000000,15.058823529,16.000000000,12.114285714
13.513513514,14.527559055,14.850000000,15.000000000,14.035087719,14.769230769,11.475409836,14.850000000,15.000000000,15.000000000,14.062500000,15.000000000,14.062500000,15.000000000,11.521739130
14.414414414,15.500000000,15.840000000,16.000000000,15.652173913,15.515151515,12.096774194,15.840000000,16.000000000,16.000000000,15.058823529,16.000000000,15.058823529,16.000000000,12.141843972
14.159292035,15.507692308,15.840000000,16.000000000,15.652173913,15.515151515,12.096774194,15.840000000,16.000000000,16.000000000,15.058823529,16.000000000,15.058823529,16.000000000,12.141843972
15.044247788,16.480916031,16.830000000,17.000000000,16.521739130,16.488721805,12.800000000,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.720279720
15.044247788,16.480916031,16.830000000,17.000000000,16.521739130,16.488721805,12.800000000,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.720279720
15.929203540,17.181818182,17.820000000,18.000000000,17.391304348,17.462686567,12.800000000,17.820000000,18.000000000,18.000000000,17.052631579,18.000000000,17.052631579,18.000000000,13.250000000
15.044247788,16.221374046,16.830000000,17.000000000,16.521739130,16.488721805,12.096774194,16.830000000,17.000000000,17.000000000,16.055555556,17.000000000,16.055555556,17.000000000,12.690140845
