Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,oranization country,org:group,org:role,organization country,organization involved,product,resource country
1-366726662,Accepted-In Progress,Jerker,2010/04/19 16:59:58.000,Variant 10,10,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
1-370436092,Accepted-In Progress,Celine,2010/04/29 09:23:20.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Queued-Awaiting Assignment,Celine,2010/04/29 09:23:56.000,Variant 42,42,Queued,Major,Awaiting Assignment,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Accepted-In Progress,Celine,2010/05/04 14:28:29.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-370436092,Accepted-In Progress,Celine,2010/11/09 18:47:12.000,Variant 42,42,Accepted,Major,In Progress,fr,Org line C,V3_3,,,PROD793,France
1-375644051,Accepted-In Progress,Sumesh,2010/05/25 12:42:48.000,Variant 64,64,Accepted,Medium,In Progress,se,Org line C,E_10,,,PROD698,0
1-375644051,Accepted-Wait,Sumesh,2010/05/25 12:49:29.000,Variant 64,64,Accepted,Medium,Wait,se,Org line C,E_10,,,PROD698,0
1-375644051,Accepted-In Progress,Sumesh,2011/06/29 16:13:19.000,Variant 64,64,Accepted,Medium,In Progress,se,Org line C,E_10,,,PROD698,0
1-375644051,Queued-Awaiting Assignment,Prasad,2011/11/23 12:47:29.000,Variant 64,64,Queued,Medium,Awaiting Assignment,se,Org line C,E_10,,,PROD698,Sweden
1-380632889,Accepted-In Progress,David,2010/06/16 16:09:45.000,Variant 5,5,Accepted,High,In Progress,se,Org line G4,,,,PROD551,Sweden
1-380632889,Queued-Awaiting Assignment,David,2010/08/16 12:24:39.000,Variant 5,5,Queued,High,Awaiting Assignment,se,Org line G4,,,,PROD551,Sweden
1-378050311,Accepted-In Progress,Peter,2010/06/22 11:37:32.000,Variant 65,65,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/07/09 11:03:29.000,Variant 65,65,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/07/09 11:05:10.000,Variant 65,65,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Peter,2010/11/08 13:35:26.000,Variant 65,65,Accepted,High,In Progress,se,Org line C,E_7,,,PROD153,Sweden
1-378050311,Queued-Awaiting Assignment,Craig,2011/11/30 13:59:57.000,Variant 65,65,Queued,High,Awaiting Assignment,se,Org line F,,,,PROD153,Sweden
1-378050311,Accepted-In Progress,Stefan,2012/02/27 08:12:23.000,Variant 65,65,Accepted,High,In Progress,se,Org line F,,,,PROD153,Sweden
1-378050311,Completed-Closed,Stefan,2012/02/27 08:13:44.000,Variant 65,65,Completed,High,Closed,se,Org line F,,,,PROD153,Sweden
1-382209384,Accepted-In Progress,Tomas,2010/06/23 14:13:51.000,Variant 22,22,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-382209384,Accepted-In Progress,Tomas,2011/09/03 07:46:51.000,Variant 22,22,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-382209384,Accepted-Assigned,Niklas,2011/11/14 16:10:10.000,Variant 22,22,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-385201933,Accepted-In Progress,Joakim,2010/07/08 04:50:41.000,Variant 67,67,Accepted,High,In Progress,se,Org line G4,,,,PROD374,Sweden
1-385201933,Queued-Awaiting Assignment,Joakim,2010/07/08 05:04:25.000,Variant 67,67,Queued,High,Awaiting Assignment,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-Assigned,Per,2010/09/07 13:57:19.000,Variant 67,67,Accepted,High,Assigned,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-In Progress,Per,2010/09/23 10:26:35.000,Variant 67,67,Accepted,High,In Progress,se,Org line G4,,,,PROD374,Sweden
1-385201933,Accepted-Wait,Per,2010/12/05 13:27:07.000,Variant 67,67,Accepted,High,Wait,se,Org line G4,,,,PROD374,Sweden
1-385201933,Completed-Closed,Per,2012/01/26 11:39:55.000,Variant 67,67,Completed,High,Closed,se,Org line G4,,,,PROD374,Sweden
1-390250582,Accepted-In Progress,Stephen,2010/08/09 17:21:55.000,Variant 68,68,Accepted,Low,In Progress,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-Wait,Stephen,2010/08/12 15:09:54.000,Variant 68,68,Accepted,Low,Wait,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-Assigned,Stephen,2010/08/18 11:28:48.000,Variant 68,68,Accepted,Low,Assigned,se,Org line C,C_6,,,PROD424,USA
1-390250582,Accepted-In Progress,Stephen,2010/08/18 15:42:02.000,Variant 68,68,Accepted,Low,In Progress,se,Org line C,C_6,,,PROD424,USA
1-390722958,Accepted-In Progress,Christer,2010/08/11 10:39:44.000,Variant 9,9,Accepted,Low,In Progress,se,Org line G4,,,,PROD412,Sweden
1-390722958,Accepted-Assigned,Christer,2012/01/16 14:43:19.000,Variant 9,9,Accepted,Low,Assigned,se,Org line G4,,,,PROD412,Sweden
1-390722958,Accepted-In Progress,Christer,2012/03/23 13:53:11.000,Variant 9,9,Accepted,Low,In Progress,se,Org line G4,,,,PROD412,Sweden
1-390722958,Completed-Closed,Christer,2012/03/23 13:54:08.000,Variant 9,9,Completed,Low,Closed,se,Org line G4,,,,PROD412,Sweden
1-360072755,Queued-Awaiting Assignment,Tomas,2010/08/25 11:04:56.000,Variant 62,62,Queued,Medium,Awaiting Assignment,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-In Progress,Tomas,2011/09/03 07:49:00.000,Variant 62,62,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-Assigned,Niklas,2011/11/14 16:10:03.000,Variant 62,62,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-360072755,Accepted-Wait,Niklas,2012/01/12 09:23:04.000,Variant 62,62,Accepted,Medium,Wait,se,Org line A2,A2_2,,,PROD681,Sweden
1-399013423,Queued-Awaiting Assignment,Ing-Marie,2010/09/06 12:04:31.000,Variant 7,7,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD821,Sweden
1-399628501,Accepted-In Progress,David,2010/09/07 15:19:41.000,Variant 3,3,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
1-399628501,Accepted-Assigned,David,2010/12/02 11:45:01.000,Variant 3,3,Accepted,Medium,Assigned,se,Org line G4,,,,PROD368,Sweden
1-402328919,Accepted-In Progress,Tomas,2010/09/16 16:39:32.000,Variant 1,1,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-402328919,Completed-Closed,Tomas,2012/05/29 10:32:02.000,Variant 1,1,Completed,Low,Closed,cn,Org line A2,A2_2,,,PROD753,Sweden
1-404005175,Accepted-In Progress,Per,2010/09/23 16:32:09.000,Variant 6,6,Accepted,Low,In Progress,se,Org line G4,,,,PROD304,Sweden
1-404005175,Accepted-Wait,Per,2010/12/05 13:28:02.000,Variant 6,6,Accepted,Low,Wait,se,Org line G4,,,,PROD304,Sweden
1-404005175,Completed-Closed,Per,2012/01/26 12:06:11.000,Variant 6,6,Completed,Low,Closed,se,Org line G4,,,,PROD304,Sweden
1-404084309,Accepted-In Progress,Per,2010/09/23 19:58:12.000,Variant 40,40,Accepted,Low,In Progress,se,Org line G4,,,,PROD374,Sweden
1-404084309,Accepted-Wait,Per,2011/01/14 14:54:47.000,Variant 40,40,Accepted,Low,Wait,se,Org line G4,,,,PROD374,Sweden
1-404084309,Accepted-Wait,Per,2012/02/29 15:32:37.000,Variant 40,40,Accepted,Low,Wait,se,Org line G4,,,,PROD374,Sweden
1-404084309,Completed-Closed,Per,2012/02/29 15:32:38.000,Variant 40,40,Completed,Low,Closed,se,Org line G4,,,,PROD374,Sweden
1-404736991,Accepted-In Progress,Nicolas,2010/09/29 09:53:12.000,Variant 69,69,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD424,France
1-404736991,Accepted-In Progress,Rijin,2010/11/16 11:09:29.000,Variant 69,69,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Accepted-In Progress,Rijin,2010/11/16 11:22:09.000,Variant 69,69,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Accepted-Wait,Rijin,2010/11/19 17:26:11.000,Variant 69,69,Accepted,Medium,Wait,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Accepted-In Progress,Rijin,2011/06/30 10:22:26.000,Variant 69,69,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Accepted-Wait,Rijin,2011/07/01 17:08:45.000,Variant 69,69,Accepted,Medium,Wait,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Accepted-In Progress,Rijin,2012/02/29 18:04:06.000,Variant 69,69,Accepted,Medium,In Progress,in,Org line B,E_10,,,PROD424,INDIA
1-404736991,Completed-Closed,Rijin,2012/02/29 18:07:28.000,Variant 69,69,Completed,Medium,Closed,in,Org line B,E_10,,,PROD424,INDIA
1-407876996,Accepted-In Progress,Ing-Marie,2010/10/08 17:16:15.000,Variant 5,5,Accepted,Medium,In Progress,se,Org line G4,,,,PROD821,Sweden
1-407876996,Queued-Awaiting Assignment,Ing-Marie,2010/10/08 17:19:28.000,Variant 5,5,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD821,Sweden
1-372029512,Accepted-Assigned,Tomas,2010/10/19 14:43:59.000,Variant 56,56,Accepted,Low,Assigned,se,Org line C,C_6,,,PROD660,Sweden
1-372029512,Accepted-Wait,Tomas,2011/10/20 14:21:34.000,Variant 56,56,Accepted,Low,Wait,se,Org line C,C_6,,,PROD660,Sweden
1-372029512,Completed-Closed,Tomas,2012/01/30 13:18:55.000,Variant 56,56,Completed,Low,Closed,se,Org line C,C_6,,,PROD660,Sweden
1-413205820,Accepted-In Progress,Fredrik,2010/10/25 13:53:47.000,Variant 70,70,Accepted,Low,In Progress,us,Org line A2,A2_4,,,PROD546,USA
1-413205820,Accepted-In Progress,Fredrik,2011/10/05 23:07:51.000,Variant 70,70,Accepted,Low,In Progress,us,Org line A2,A2_4,,,PROD546,USA
1-413205820,Queued-Awaiting Assignment,Fredrik,2011/10/05 23:07:59.000,Variant 70,70,Queued,Low,Awaiting Assignment,us,Org line A2,A2_4,,,PROD546,USA
1-413205820,Accepted-In Progress,Fredrik,2011/10/06 20:05:33.000,Variant 70,70,Accepted,Low,In Progress,us,Org line A2,A2_4,,,PROD546,USA
1-413205820,Accepted-Assigned,Joakim,2011/12/06 21:31:33.000,Variant 70,70,Accepted,Low,Assigned,us,Org line A2,A2_4,,,PROD546,USA
1-413205820,Completed-Closed,Joakim,2012/01/04 13:52:57.000,Variant 70,70,Completed,Low,Closed,us,Org line A2,A2_4,,,PROD546,USA
1-413665008,Accepted-In Progress,Tomas,2010/10/26 09:14:34.000,Variant 1,1,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-413665008,Completed-Closed,Tomas,2012/05/29 10:24:46.000,Variant 1,1,Completed,High,Closed,cn,Org line A2,A2_2,,,PROD753,Sweden
1-415000020,Accepted-In Progress,Jonas,2010/11/01 08:37:07.000,Variant 43,43,Accepted,Medium,In Progress,se,Org line C,C_6,,,PROD660,Sweden
1-415000020,Queued-Awaiting Assignment,Anna,2010/11/01 11:00:46.000,Variant 43,43,Queued,Medium,Awaiting Assignment,se,Org line C,E_7,,,PROD660,Sweden
1-415000020,Accepted-In Progress,Anna,2011/09/08 11:19:39.000,Variant 43,43,Accepted,Medium,In Progress,se,Org line C,E_7,,,PROD660,Sweden
1-415000020,Accepted-Wait,Anna,2011/09/08 11:19:45.000,Variant 43,43,Accepted,Medium,Wait,se,Org line C,E_7,,,PROD660,Sweden
1-415000020,Accepted-In Progress,Anna,2012/02/01 14:00:34.000,Variant 43,43,Accepted,Medium,In Progress,se,Org line C,E_7,,,PROD660,Sweden
1-415000020,Completed-Closed,Anna,2012/02/01 14:00:54.000,Variant 43,43,Completed,Medium,Closed,se,Org line C,E_7,,,PROD660,Sweden
1-415822336,Accepted-In Progress,Viktoria,2010/11/03 08:04:02.000,Variant 71,71,Accepted,Medium,In Progress,se,Org line G4,,,,PROD412,Sweden
1-415822336,Accepted-Wait,Viktoria,2010/11/03 09:52:09.000,Variant 71,71,Accepted,Medium,Wait,se,Org line G4,,,,PROD412,Sweden
1-415822336,Queued-Awaiting Assignment,Viktoria,2010/11/24 13:41:08.000,Variant 71,71,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD412,Sweden
1-415822336,Queued-Awaiting Assignment,Viktoria,2010/11/24 14:08:53.000,Variant 71,71,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD412,Sweden
1-415822336,Queued-Awaiting Assignment,Viktoria,2010/11/25 14:37:13.000,Variant 71,71,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD412,Sweden
1-415822336,Accepted-In Progress,Viktoria,2010/11/25 14:38:42.000,Variant 71,71,Accepted,Medium,In Progress,se,Org line G4,,,,PROD412,Sweden
1-415822336,Accepted-Wait,Viktoria,2010/11/25 14:40:20.000,Variant 71,71,Accepted,Medium,Wait,se,Org line G4,,,,PROD412,Sweden
1-422418092,Accepted-In Progress,Viktoria,2010/11/19 18:20:40.000,Variant 72,72,Accepted,Medium,In Progress,se,Org line G4,,,,PROD412,Sweden
1-422418092,Queued-Awaiting Assignment,Viktoria,2010/11/19 18:25:24.000,Variant 72,72,Queued,Medium,Awaiting Assignment,se,Org line G4,,,,PROD412,Sweden
1-422418092,Accepted-Assigned,David,2012/02/06 12:47:29.000,Variant 72,72,Accepted,Medium,Assigned,se,Org line G4,,,,PROD412,Sweden
1-422418092,Accepted-Assigned,David,2012/02/06 12:48:30.000,Variant 72,72,Accepted,Medium,Assigned,se,Org line G4,,,,PROD412,Sweden
1-427955007,Accepted-In Progress,Roland,2010/12/07 14:24:36.000,Variant 73,73,Accepted,Medium,In Progress,se,Org line G4,,,,PROD374,Sweden
1-427955007,Accepted-Wait,Roland,2011/01/18 10:59:26.000,Variant 73,73,Accepted,Medium,Wait,se,Org line G4,,,,PROD374,Sweden
1-427955007,Accepted-In Progress,Roland,2011/01/26 07:48:18.000,Variant 73,73,Accepted,Medium,In Progress,se,Org line G4,,,,PROD374,Sweden
1-427955007,Accepted-Wait,Roland,2011/04/28 08:46:03.000,Variant 73,73,Accepted,Medium,Wait,se,Org line G4,,,,PROD374,Sweden
1-427955007,Completed-Closed,Roland,2012/01/26 10:47:59.000,Variant 73,73,Completed,Medium,Closed,se,Org line G4,,,,PROD374,Sweden
1-430880486,Accepted-In Progress,Katarina,2010/12/16 11:55:48.000,Variant 6,6,Accepted,Medium,In Progress,se,Org line G4,,,,PROD374,Sweden
1-430880486,Accepted-Wait,Katarina,2011/03/21 17:11:52.000,Variant 6,6,Accepted,Medium,Wait,se,Org line G4,,,,PROD374,Sweden
1-430880486,Completed-Closed,Katarina,2012/02/29 14:38:04.000,Variant 6,6,Completed,Medium,Closed,se,Org line G4,,,,PROD374,Sweden
1-433910332,Accepted-In Progress,Ian,2010/12/28 14:28:04.000,Variant 74,74,Accepted,Medium,In Progress,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-Wait,Ian,2010/12/28 14:28:11.000,Variant 74,74,Accepted,Medium,Wait,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-Wait,Ian,2011/01/03 08:41:42.000,Variant 74,74,Accepted,Medium,Wait,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-In Progress,Ian,2011/01/28 16:48:20.000,Variant 74,74,Accepted,Medium,In Progress,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-Wait,Ian,2011/03/31 10:34:29.000,Variant 74,74,Accepted,Medium,Wait,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-In Progress,Ian,2011/04/06 13:16:21.000,Variant 74,74,Accepted,Medium,In Progress,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-433910332,Accepted-Assigned,Ian,2011/06/29 16:04:50.000,Variant 74,74,Accepted,Medium,Assigned,gb,Org line A2,A2_1,,,PROD235,United Kingdom
1-439833168,Accepted-In Progress,Per,2011/01/14 13:10:28.000,Variant 6,6,Accepted,Low,In Progress,se,Org line G4,,,,PROD374,Sweden
