Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-182640781,Accepted-Assigned,Niklas,2011/11/14 16:10:25.000,Variant 37,37,Accepted,Medium,Assigned,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
1-182640781,Accepted-In Progress,Niklas,2012/01/03 11:30:35.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
1-182640781,Completed-Closed,Niklas,2012/01/03 11:31:53.000,Variant 37,37,Completed,Medium,Closed,Org line A2,A2_2,se,G167 2nd,PROD681,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/05/07 18:58:51.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/10/06 16:44:37.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-230541365,Accepted-Wait,Tomas,2009/12/02 14:24:34.000,Variant 79,79,Accepted,High,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 00:27:50.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 00:27:55.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-230541365,Accepted-In Progress,Carrie,2012/01/20 07:53:32.000,Variant 79,79,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-230541365,Completed-Closed,Carrie,2012/01/20 07:53:35.000,Variant 79,79,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-236817141,Accepted-In Progress,Tomas,2008/06/04 12:02:18.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
1-236817141,Accepted-Wait,Tomas,2009/12/02 14:24:34.000,Variant 37,37,Accepted,Medium,Wait,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
1-236817141,Queued-Awaiting Assignment,Tomas,2010/08/25 11:06:45.000,Variant 37,37,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2011/09/03 08:02:11.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
1-236817141,Accepted-Assigned,Niklas,2011/11/14 16:09:27.000,Variant 37,37,Accepted,Medium,Assigned,Org line A2,A2_2,cn,G167 2nd,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2012/01/05 14:08:18.000,Variant 37,37,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
1-236817141,Completed-Closed,Tomas,2012/01/05 14:09:00.000,Variant 37,37,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD681,Sweden
1-270399977,Accepted-In Progress,Juan,2008/11/13 09:43:32.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
1-270399977,Accepted-In Progress,Juan,2012/01/30 10:56:24.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
1-270399977,Accepted-In Progress,Juan,2012/01/30 11:12:05.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
1-270399977,Queued-Awaiting Assignment,Earl,2012/02/16 14:52:16.000,Variant 80,80,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
1-270399977,Accepted-In Progress,Juan,2012/02/16 15:09:17.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
1-270399977,Queued-Awaiting Assignment,Earl,2012/02/16 15:09:43.000,Variant 80,80,Queued,High,Awaiting Assignment,Org line V7n,,nl,V32 2nd,PROD542,Netherlands
1-270399977,Accepted-In Progress,Juan,2012/02/16 15:10:10.000,Variant 80,80,Accepted,High,In Progress,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
1-270399977,Completed-Closed,Juan,2012/03/19 09:26:32.000,Variant 80,80,Completed,High,Closed,Org line V7n,,nl,V37 2nd,PROD542,Netherlands
1-270427461,Accepted-In Progress,Tomas,2008/11/13 11:01:04.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-270427461,Accepted-Wait,Tomas,2009/12/02 14:24:35.000,Variant 23,23,Accepted,Low,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-270427461,Accepted-In Progress,Tomas,2011/11/14 15:57:27.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-270427461,Accepted-In Progress,Carrie,2012/01/18 10:17:14.000,Variant 23,23,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-270427461,Completed-Closed,Carrie,2012/01/18 10:19:21.000,Variant 23,23,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-310231291,Accepted-In Progress,Mats,2009/06/25 09:47:52.000,Variant 4,4,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
1-310231291,Accepted-In Progress,Mats,2012/03/28 13:10:36.000,Variant 4,4,Accepted,Medium,In Progress,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
1-310231291,Completed-Closed,Mats,2012/03/28 13:12:08.000,Variant 4,4,Completed,Medium,Closed,Org line A2,A2_1,se,M18 2nd,PROD38,Sweden
1-316086072,Accepted-In Progress,Per,2009/08/11 08:44:51.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,E_10,se,G260 2nd,PROD425,Sweden
1-316086072,Queued-Awaiting Assignment,Per,2009/08/11 08:55:12.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
1-316086072,Accepted-Assigned,Per,2009/08/11 12:01:25.000,Variant 81,81,Accepted,Medium,Assigned,Org line C,E_10,se,G260 2nd,PROD425,Sweden
1-316086072,Queued-Awaiting Assignment,Per,2010/05/18 12:35:53.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
1-316086072,Accepted-In Progress,Tony,2010/06/16 12:00:32.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,C_6,se,G152 3rd,PROD425,Sweden
1-316086072,Accepted-Wait,Tony,2011/10/01 22:40:28.000,Variant 81,81,Accepted,Medium,Wait,Org line C,C_6,se,G152 3rd,PROD425,Sweden
1-316086072,Queued-Awaiting Assignment,Tony,2011/12/07 12:41:00.000,Variant 81,81,Queued,Medium,Awaiting Assignment,Org line C,E_10,se,G260 2nd,PROD425,Sweden
1-316086072,Accepted-In Progress,Reza,2012/02/15 12:01:20.000,Variant 81,81,Accepted,Medium,In Progress,Org line C,E_10,se,G150 2nd,PROD425,Sweden
1-316086072,Completed-Closed,Reza,2012/02/19 21:57:21.000,Variant 81,81,Completed,Medium,Closed,Org line C,E_10,se,G150 2nd,PROD425,Sweden
1-320604521,Accepted-In Progress,Richard,2009/09/07 14:33:24.000,Variant 42,42,Accepted,Low,In Progress,Org line C,C_6,se,G237 3rd,PROD498,Sweden
1-320604521,Unmatched-Unmatched,Richard,2009/09/14 11:37:50.000,Variant 42,42,Unmatched,Low,Unmatched,Org line C,C_6,se,G237 3rd,PROD498,Sweden
1-320604521,Completed-Closed,Richard,2012/04/30 12:21:43.000,Variant 42,42,Completed,Low,Closed,Org line C,C_6,se,G237 3rd,PROD498,Sweden
1-322204195,Queued-Awaiting Assignment,Adam,2009/09/16 22:42:12.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
1-322204195,Accepted-In Progress,Adam,2009/09/28 11:26:19.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
1-322204195,Accepted-Wait,Adam,2009/09/28 11:26:30.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
1-322204195,Queued-Awaiting Assignment,Adam,2010/04/08 12:09:22.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W16 3rd,PROD761,POLAND
1-322204195,Queued-Awaiting Assignment,Adam,2010/04/08 12:11:51.000,Variant 82,82,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322204195,Accepted-In Progress,Adam,2010/04/12 10:05:58.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322204195,Accepted-Wait,Adam,2010/04/12 10:10:24.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322204195,Accepted-In Progress,Adam,2011/10/18 16:09:14.000,Variant 82,82,Accepted,Medium,In Progress,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322204195,Accepted-Wait,Adam,2012/05/24 10:02:19.000,Variant 82,82,Accepted,Medium,Wait,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322204195,Completed-Closed,Adam,2012/05/24 11:03:31.000,Variant 82,82,Completed,Medium,Closed,Org line A2,A2_1,pl,W15 2nd,PROD761,POLAND
1-322581861,Accepted-In Progress,Stefan,2009/09/18 12:50:02.000,Variant 42,42,Accepted,Low,In Progress,Org line C,E_3,se,L54 2nd,PROD385,Sweden
1-322581861,Unmatched-Unmatched,Stefan,2009/11/17 14:07:38.000,Variant 42,42,Unmatched,Low,Unmatched,Org line C,E_3,se,L54 2nd,PROD385,Sweden
1-322581861,Completed-Closed,Stefan,2012/03/13 11:53:35.000,Variant 42,42,Completed,Low,Closed,Org line C,E_3,se,L54 2nd,PROD385,Sweden
1-322980802,Accepted-In Progress,Kerstin,2009/09/21 14:13:43.000,Variant 1,1,Accepted,Medium,In Progress,Org line V2,,se,T2 2nd,PROD631,Sweden
1-322980802,Completed-Closed,Kerstin,2012/02/07 13:22:11.000,Variant 1,1,Completed,Medium,Closed,Org line V2,,se,T2 2nd,PROD631,Sweden
1-323264491,Accepted-In Progress,Reine,2009/09/22 14:22:05.000,Variant 10,10,Accepted,Low,In Progress,Org line C,C_5,se,N1 3rd,PROD476,Sweden
1-323264491,Accepted-Assigned,Reine,2009/09/22 14:25:17.000,Variant 10,10,Accepted,Low,Assigned,Org line C,C_5,se,N1 3rd,PROD476,Sweden
1-323264491,Completed-Closed,Reine,2012/05/24 10:57:49.000,Variant 10,10,Completed,Low,Closed,Org line C,C_5,se,N1 3rd,PROD476,Sweden
1-323462732,Accepted-In Progress,Rajashekar,2009/09/23 11:52:27.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-Assigned,Rajashekar,2010/01/04 09:00:17.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-In Progress,Rajashekar,2010/03/17 16:36:20.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-Assigned,Rajashekar,2010/11/09 12:35:55.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-In Progress,Rajashekar,2010/11/09 14:20:48.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-In Progress,Kalpesh,2012/03/30 08:00:47.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,Sweden
1-323462732,Accepted-Assigned,Tise,2012/03/30 08:05:44.000,Variant 83,83,Accepted,High,Assigned,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
1-323462732,Accepted-In Progress,TulasiPrasad,2012/04/19 10:01:14.000,Variant 83,83,Accepted,High,In Progress,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
1-323462732,Completed-Closed,TulasiPrasad,2012/04/19 10:01:38.000,Variant 83,83,Completed,High,Closed,Org line A2,D_1,in,L50 3rd,PROD611,INDIA
1-327329880,Accepted-In Progress,Carrie,2009/10/14 18:12:54.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-327329880,Accepted-Wait,Carrie,2009/12/02 14:24:37.000,Variant 23,23,Accepted,Medium,Wait,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-327329880,Accepted-In Progress,Carrie,2011/09/02 00:22:08.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-327329880,Accepted-In Progress,Carrie,2012/02/01 09:46:54.000,Variant 23,23,Accepted,Medium,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-327329880,Completed-Closed,Carrie,2012/02/01 09:46:57.000,Variant 23,23,Completed,Medium,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,China
1-329451027,Accepted-Wait,Henrik,2009/10/26 14:47:10.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-329451027,Unmatched-Unmatched,Henrik,2009/10/27 09:57:26.000,Variant 84,84,Unmatched,Low,Unmatched,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-329451027,Queued-Awaiting Assignment,Henrik,2010/03/02 13:44:22.000,Variant 84,84,Queued,Low,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-329451027,Accepted-In Progress,Katarzyna,2010/03/02 13:46:10.000,Variant 84,84,Accepted,Low,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Accepted-Wait,Katarzyna,2010/03/02 13:46:18.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Accepted-Assigned,Damian,2011/04/11 09:10:20.000,Variant 84,84,Accepted,Low,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Accepted-Assigned,Katarzyna,2011/04/11 09:11:48.000,Variant 84,84,Accepted,Low,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Accepted-Wait,Katarzyna,2011/11/28 08:21:27.000,Variant 84,84,Accepted,Low,Wait,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Accepted-In Progress,Katarzyna,2012/03/30 10:53:50.000,Variant 84,84,Accepted,Low,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329451027,Completed-Closed,Katarzyna,2012/03/30 10:53:53.000,Variant 84,84,Completed,Low,Closed,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-329647261,Accepted-In Progress,Henrik,2009/10/27 09:42:40.000,Variant 85,85,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
1-329647261,Accepted-Wait,Henrik,2009/10/27 09:42:49.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
1-329647261,Queued-Awaiting Assignment,Henrik,2010/03/02 13:43:43.000,Variant 85,85,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD48,Sweden
1-329647261,Accepted-In Progress,Ricardo,2010/03/02 13:44:26.000,Variant 85,85,Accepted,Medium,In Progress,Org line A1,,se,N5 2nd,PROD48,Brazil
1-329647261,Accepted-In Progress,Katarzyna,2010/03/03 08:04:11.000,Variant 85,85,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
1-329647261,Accepted-Wait,Katarzyna,2010/06/13 22:32:03.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
1-329647261,Accepted-Assigned,Damian,2011/04/11 09:12:04.000,Variant 85,85,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
1-329647261,Accepted-Wait,Damian,2011/11/23 11:55:39.000,Variant 85,85,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
1-329647261,Completed-Closed,Damian,2012/01/19 08:55:41.000,Variant 85,85,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD48,POLAND
1-330634474,Accepted-In Progress,Henrik,2009/10/30 13:49:04.000,Variant 86,86,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
1-330634474,Accepted-Assigned,Henrik,2009/10/30 13:57:13.000,Variant 86,86,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
1-330634474,Queued-Awaiting Assignment,Henrik,2010/03/02 13:43:50.000,Variant 86,86,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,se,G357 2nd,PROD44,Sweden
1-330634474,Accepted-In Progress,Katarzyna,2010/03/02 13:45:25.000,Variant 86,86,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
1-330634474,Accepted-Wait,Katarzyna,2010/03/02 13:45:37.000,Variant 86,86,Accepted,Medium,Wait,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
1-330634474,Completed-Closed,Katarzyna,2012/03/30 10:54:30.000,Variant 86,86,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD44,POLAND
1-331478885,Accepted-In Progress,Roger,2009/11/04 08:07:28.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-331478885,Accepted-In Progress,Roger,2010/03/03 15:51:55.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-331478885,Accepted-Assigned,Piotr,2010/03/03 15:52:18.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-331478885,Accepted-Assigned,Piotr,2010/05/24 17:04:58.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-331478885,Accepted-Assigned,Henrik,2010/08/09 12:39:59.000,Variant 87,87,Accepted,Medium,Assigned,Org line A2,A2_2,se,G357 2nd,PROD46,Sweden
1-331478885,Accepted-In Progress,Katarzyna,2012/04/02 10:18:59.000,Variant 87,87,Accepted,Medium,In Progress,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-331478885,Completed-Closed,Katarzyna,2012/04/02 10:19:30.000,Variant 87,87,Completed,Medium,Closed,Org line A2,A2_2,se,G357 2nd,PROD46,POLAND
1-332389008,Queued-Awaiting Assignment,Ingela,2009/11/09 16:38:14.000,Variant 88,88,Queued,Medium,Awaiting Assignment,Org line V2,,se,T12,PROD42,Sweden
1-332389008,Accepted-In Progress,Ingela,2009/11/24 09:41:50.000,Variant 88,88,Accepted,Medium,In Progress,Org line V2,,se,T12,PROD42,Sweden
1-332389008,Accepted-Wait,Ingela,2010/09/10 10:45:16.000,Variant 88,88,Accepted,Medium,Wait,Org line V2,,se,T12,PROD42,Sweden
1-332389008,Accepted-In Progress,Ingela,2011/03/28 11:52:46.000,Variant 88,88,Accepted,Medium,In Progress,Org line V2,,se,T12,PROD42,Sweden
1-332389008,Accepted-Wait,Ingela,2012/01/04 15:53:26.000,Variant 88,88,Accepted,Medium,Wait,Org line V2,,se,T12,PROD42,Sweden
1-332389008,Completed-Closed,Ingela,2012/04/13 13:41:36.000,Variant 88,88,Completed,Medium,Closed,Org line V2,,se,T12,PROD42,Sweden
1-333164156,Accepted-In Progress,Liesbet,2009/11/12 13:41:27.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_1,be,G42 3rd,PROD787,Belgium
1-333164156,Accepted-In Progress,Liesbet,2010/09/17 10:33:52.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_1,be,G42 3rd,PROD787,Belgium
1-333164156,Queued-Awaiting Assignment,Timothy,2010/11/12 19:22:19.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
1-333164156,Accepted-Assigned,Ian,2010/11/23 15:10:22.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
1-333164156,Accepted-Assigned,Alan,2011/01/07 14:55:04.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
1-333164156,Accepted-Wait,Alan,2011/01/11 17:13:42.000,Variant 89,89,Accepted,Medium,Wait,Org line A2,A2_1,be,G42 3rd,PROD787,United Kingdom
1-333164156,Accepted-In Progress,Lars,2011/05/19 15:45:16.000,Variant 89,89,Accepted,Medium,In Progress,Org line V11,,be,C8,PROD787,Denmark
1-333164156,Queued-Awaiting Assignment,Ibrahim,2011/05/19 15:49:04.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_2,be,G8 2nd,PROD787,Belgium
1-333164156,Accepted-In Progress,Ibrahim,2011/08/25 15:24:01.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_2,be,G8 2nd,PROD787,Belgium
1-333164156,Queued-Awaiting Assignment,Ward,2011/08/25 15:24:43.000,Variant 89,89,Queued,Medium,Awaiting Assignment,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
1-333164156,Accepted-Assigned,Liesbet,2011/08/25 15:25:33.000,Variant 89,89,Accepted,Medium,Assigned,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
1-333164156,Accepted-In Progress,Liesbet,2011/10/26 17:07:30.000,Variant 89,89,Accepted,Medium,In Progress,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
1-333164156,Completed-Closed,Liesbet,2012/03/30 11:45:20.000,Variant 89,89,Completed,Medium,Closed,Org line A2,A2_4,be,G7 3rd,PROD787,Belgium
1-335260940,Accepted-In Progress,Joris,2009/11/24 09:44:43.000,Variant 90,90,Accepted,Medium,In Progress,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
1-335260940,Queued-Awaiting Assignment,Joris,2009/11/30 10:45:01.000,Variant 90,90,Queued,Medium,Awaiting Assignment,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
1-335260940,Accepted-In Progress,Joris,2010/03/14 13:40:26.000,Variant 90,90,Accepted,Medium,In Progress,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
1-335260940,Unmatched-Unmatched,Joris,2010/03/14 13:40:36.000,Variant 90,90,Unmatched,Medium,Unmatched,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
1-335260940,Completed-Closed,Joris,2012/01/18 14:26:41.000,Variant 90,90,Completed,Medium,Closed,Org line A2,A2_1,se,N15 2nd,PROD180,Belgium
1-337229341,Unmatched-Unmatched,Lars,2009/12/04 12:10:14.000,Variant 91,91,Unmatched,Major,Unmatched,Org line A2,A2_3,se,G356 2nd,PROD147,Sweden
